username,like_linda,like_karl_peter,like_sandy,like_kevin,like_martin,like_claudia,used_hashtags
scherzflorian,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#perfect', '#weather', '#snow', '#sunglasses', '#kroatien', '#losinj', '#blue', '#sea', '#sun', '#great', '#town', '#venice', '#beautiful', '#grünersee', '#summer', '#photooftheday', '#instagood', '#hiking', '#croatia', '#veli', '#pool', '#nice', '#view', '#holiday', '#favouritebeachboy', '#gymlife', '#bulking', '#nextrichpiana', '#wow', '#chipsy', '#brrrt', '#redbull', '#spielberg', '#danielabt', '#formulae', '#jp', '#sleepy', '#cat', '#little', '#bay', '#green', '#vacation', '#skiing', '#travel', '#mountains', '#is', '#the', '#best', '#tennis', '#aufschlag', '#sandplatz', '#bestes', '#wetter']"
bianca_codospan,8.33%,0.0%,0.0%,11.11%,16.67%,14.29%,"['#tb', '#nye', '#nye2021', '#uae', '#uaelife', '#happynewyear', '#dubai', '#burjkhalifa', '#mydubai', '#home', '#beautiful', '#downtowndubai', '#memories', '#lifeinmiddleeast', '#bf', '#valentinesday', '#soulmate', '#gizapyramids', '#7wondersoftheworld', '#cairo', '#cairoegypt', '#egypt', '#giza', '#pyramids', '#sevenworldwonders', '#horseriding', '#explore', '#adventureofmylife', '#simplyhappy', '#bcodospan', '#happyme', '#desert', '#happydunes', '#africa', '#kenya', '#tea', '#teafarm', '#beautifulafrica', '#nature', '#blacklivesmatter', '#blackouttuesday', '#educate', '#grow', '#travel', '#ancientegypt', '#egyptian', '#pyramid', '#pyramidsofgiza', '#thisisegypt', '#history', '#travelphotography', '#photography', '#egyptology', '#ancient', '#sharmelsheikh', '#1yearanniversary', '#mylove', '#bestfriend', '#favoriteplace', '#sea', '#vitaminsea', '#sun', '#beautifulmoments', '#wonderfullife❤️', '#favoriteplaceonearth', '#amazing', '#view', '#inlove', '#egipto', '#egitto', '#sphinx', '#visitegypt', '#travelgram', '#egiptologia', '#clubbing', '#friends', '#sunsetsaturday', '#graz', '#greece', '#athens', '#holiday', '#favoriteperson', '#dubailife', '#dxb', '#love', '#emirates', '#sandytoes', '#happyplace', '#zerogravitydubai', '#nurheute', '#stayhome', '#sailing', '#sailinglife', '#sailingboat', '#vacationmode', '#sunset', '#safari', '#kempinski', '#masaimara', '#wildlife', '#animals', '#dream', '#palmtrees', '#sunshine', '#enjoyinglife', '#life', '#happyhappyhappy', '#summer', '#nairobi', '#nairobikenya', '#giraffe', '#giraffesanctuary', '#lebanon', '#india', '#philippines', '#australia', '#usa', '#austria', '#italy']"
irisweiss_,8.33%,0.0%,0.0%,11.11%,0.0%,0.0%,"['#happy', '#girlstrip', '#roadtrip', '#roadtrippin', '#firststop', '#richtigetouristenpics', '#35gradforthewin', '#onehappyiris', '#sunkissed', '#beachwaves', '#summervibes', '#summer', '#happysaturday', '#beachdays', '#beachlife', '#canwegobackplease', '#croatia', '#krk', '#krkisland', '#oprnabay', '#beach', '#happiness', '#sunflower', '#liebstefotoblume', '#ohduwunderschöneszist', '#happyiris', '#happyweekend', '#sunday', '#sundayfunday', '#photooftheday', '#instadaily', '#smile', '#igers', '#igersaustria', '#home', '#grübchenonfleek', '#happygirl', '#homesweethome', '#shorthairdontcare', '#stillablondie', '#meinvorhanghängtimbild', '#longtimenoselfie', '#friday', '#happyfriday', '#weekendmood', '#happyme', '#springvibes', '#sunnydays', '#instagood', '#tflers', '#tbt', '#verrücktnachmarry', '#happytimes', '#rooftopviews', '#sunset', '#rooftopparty', '#greattime', '#happysunday', '#slowdown', '#weekend', '#weekendvibes', '#happypeppi', '#photography', '#oldtown', '#türkisetürforthewin', '#gesuchtundgefunden', '#happyfall', '#autumn', '#sunshineonmymind', '#sunshine', '#almostsummeroderso', '#happyplace', '#finallysnow', '#mindset', '#mindsetiseverything', '#mondaymotivation', '#flowers', '#sorrymama', '#letztewochezist', '#whatmademehappytoday', '#unilife', '#workoutclothesalldayeveryday', '#smiling', '#sun', '#igdaily', '#homeoffice', '#workingfromhome', '#loveyourselffirst']"
matthiasdrobar,0.0%,0.0%,14.29%,11.11%,16.67%,14.29%,"['#burgstallerhöhe', '#schöcklland', '#everythingforthatmoment', '#kumberg', '#schnee', '#sumpf', '#schöckl', '#nebel', '#amberg', '#sonnenaufgang', '#schneschuhwandern', '#diy', '#feuertonne', '#liqidmoly', '#nissan', '#aufdenberg', '#zumsonnenuntergang', '#spesautomobile', '#family', '#weihnachten', '#flir', '#wärmebildkamera', '#musik', '#kerzen', '#feuer', '#christbaum', '#cats62pro', '#music', '#feuerwehr', '#ffkumberg', '#atemschutzgeräteträger', '#graz', '#schlossberg', '#stadt', '#gipfelfoto', '#zuhauseistesamschönsten', '#feuersalamander', '#natur', '#wald', '#bahnhof', '#nacht', '#nachdembiken', '#zugfahren', '#öbb', '#feuerwehrmann', '#tlfa3000', '#gottzuehrdemnächstenzurwehr', '#schöckltrailarea', '#schneeschuhwandern']"
eventants,8.33%,0.0%,0.0%,11.11%,0.0%,0.0%,"['#concert', '#gmunden', '#pizzeraundjaus', '#rain', '#loveourjob', '#lovewhatwedo', '#bestteam', '#ameizing🐜', '#eventants', '#culture', '#gala', '#vienna', '#summer', '#holidays', '#goodtimes', '#events', '#pride', '#graz', '#loveislove', '#welschlauf', '#promotion', '#maintenance', '#sommernachgespräche', '#motorsport', '#formel1', '#formulaone', '#spielberg', '#manpower', '#orfdrei', '#politicaldiscussion', '#radiokulturhaus', '#vernissage', '#artandfriends', '#badaussee', '#exhibition', '#silviawolfsgruber', '#artist', '#spitalkirche', '#office', '#administration', '#business', '#generaliopen', '#kitzbühel', '#tennis', '#atp', '#atptenniskitzbühel', '#sports', '#soccer', '#healthylifestyle', '#stayhealthy', '#takecareofyourself', '#atpworldtour', '#constructionwork', '#abbau', '#aufbau', '#oberameise', '#boss', '#antsboss', '#catsday', '#sekretöse', '#networking', '#dervierender', '#bruckandermur', '#weinerei', '#baderhaus', '#weinereiimbaderhaus', '#winzer', '#meinausseerland', '#art', '#beachvolleyball', '#viennamajor', '#em', '#constructiondays', '#alpenverein', '#tagung', '#meeting', '#styria', '#ameizing', '#wien']"
jacky_naehrer,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#TOP', '#YUMMY']"
guido_gross,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,[]
mr.renderer,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#noctua', '#chromaxblack', '#pccooling', '#nhd15', '#cpucooler', '#cpu', '#pccomponents', '#productdesign', '#produktvideo', '#productcommercial', '#commercial', '#productshots', '#advertising', '#cgi', '#vfx', '#motiondesign', '#3dmotiondesign', '#3danimation', '#3drendering', '#cgistudio', '#cgstudio', '#productioncompany', '#creativestudio', '#c4d', '#xparticles', '#redshift3d', '#werbung', '#werbeagentur', '#graz', '#austria', '#colorgrading', '#musicvideo', '#croword', '#avbaby', '#filmstudio', '#kessler', '#kesslercrane', '#dji', '#ronin', '#followfocus', '#filmcrew', '#ligt', '#parlight', '#filmmaking', '#videography', '#metal', '#melodicmetal', '#metalvideo', '#bts', '#iphone', '#shotoniphone', '#lightroom', '#lightroomcc', '#lightroomccmobile', '#greatstuff', '#setup', '#workspace', '#desksetup', '#visualeffects', '#vfxartist', '#postproduction', '#office', '#productionoffice', '#vfxstudio', '#minimalsetups', '#designyourworkspace', '#workstation', '#palettegear', '#logitech', '#logitechmxmaster', '#dell', '#gtx1080ti', '#cinema4d', '#redshift', '#trvp', '#execproducer', '#commercialproducer', '#vfxsupervisor', '#preproduction', '#officedesign', '#studiodesign', '#meetingarea', '#modernoffice', '#onlinemeetings', '#ipadpro', '#appleipadpro', '#magickeyboard', '#bose700', '#therenderers', '#productive', '#studio', '#computersetup', '#postproductionstudio', '#cgartist', '#3monitors', '#monitorsetup', '#greenscreen', '#rendering', '#onset', '#AVbaby', '#cleansetup', '#threemonitorsetup', '#motiondesigner', '#creative', '#maxon', '#cinedesigner', '#razer', '#audiotechnica', '#ikea', '#incredible', '#pcsetup', '#monogramcc', '#monogramcreativeconsole', '#timeular', '#cheersrost', '#benq', '#benqsw270c', '#shoot', '#cinematograpgy', '#videoproduction', '#dp', '#mountains', '#alps', '#a7s', '#xeen', '#cine', '#cineprimes', '#filmrig', '#manfrotto', '#atomos', '#atomosshogun', '#inspire', '#spotsnapr', '#inspiration', '#visualeffectsstudio', '#coffee', '#macchiato', '#rocketespresso', '#espressomachine', '#portafilter']"
kilian.mittendorfer,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,[]
fresh_julia06,8.33%,0.0%,0.0%,11.11%,16.67%,28.57%,"['#motivation', '#girlswithglasses', '#happiness', '#sofresh', '#goodvibes', '#springevenings', '#motherofcats', '#graz', '#austria', '#igersgraz', '#igersaustria', '#catlover', '#flowers', '#citylife', '#flyinggarden', '#plantslover', '#naturelovers', '#findthemagic', '#awareness', '#grazgoals', '#magicalmoments', '#autumn', '#autumncolors', '#carlover', '#feelingblessed', '#vibe', '#vwpolo', '#vw', '#carsofinstagram', '#summervibes', '#sunnyday', '#saturdaymood', '#besttimeoftheyear', '#mindset', '#luna', '#sleepycat', '#catlifestyle', '#cutecat', '#cat', '#catadventures', '#blackouttuesday', '#bestteam', '#fun', '#chemists', '#chemistrylifestyle', '#sunglasses', '#squadgoals', '#rooftopparty', '#heuvodka', '#haídi', '#marryicetea', '#vibes', '#gooddrinks', '#lendhotelgraz', '#lend', '#aeijstgin', '#christmastime', '#newjewelry', '#timetoshine', '#thanksgurl', '#winter', '#babyitscoldoutside', '#vwpoloedition', '#energeticorange', '#home', '#snow', '#whiteandorange', '#cargirl', '#winterwonderland', '#vibey', '#throwback', '#2k19', '#croatia', '#nature', '#Naturelover', '#lateautumn', '#christmasiscoming', '#winteriscoming', '#readyforsnow', '#cold', '#colddays', '#Coronavirus', '#summerbody', '#sofree', '#unicornsarereal', '#vacationgoals', '#vacationmodeon', '#noregrets', '#hikingadventures', '#vacation', '#tb', '#breathtakingviews', '#experiences', '#mountains', '#lakes', '#welcometothefamily', '#newfamilymember', '#lafamilia', '#bmw', '#herefortheview', '#sunset', '#mindsetgoals', '#dream', '#goallin', '#luxury', '#luxuryvibe', '#austin', '#beyourownbrand', '#personaldevelopment', '#personaldevelopmentcoach', '#spirituality', '#environmentalprotection', '#animalprotection', '#dowhatyoulove', '#supporteachother', '#whatdoyouwanttobe', '#brand', '#growthmindset', '#growth', '#abundance', '#changeyourmindset', '#changeyourlife', '#styria💚', '#family', '#memories', '#beautifulplace', '#czechrepublic', '#adventuretime', '#successmindset', '#traveling', '#earlymornings', '#omiš', '#roadtrip', '#beach', '#sisters', '#girlstrip', '#birthdayvacation', '#vacationmode', '#bmwlife', '#relax', '#calmyourmind', '#christmastree', '#christmas2020', '#presents🎁', '#glitter', '#drivinghomeforchristmas', '#christmasathome', '#inspired', '#newchapter', '#vwgolf', '#golffamily', '#vwgolf8rline', '#mondsteingrau', '#desire', '#mindsetmatters', '#nightsky', '#sunsetlover', '#newcar', '#newadventures', '#beautiful', '#colours', '#healing', '#followyourheart', '#followyourdesires', '#levelup', '#nextlevel', '#styria', '#writeyourstory', '#achieverofunrealisticshit', '#moneymindset', '#changeyourmind']"
