id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
B8T05UrAIwY,https://www.instagram.com/p/B8T05UrAIwY/,43,#studio #producing #newmusic #guitarist #gitarristin #recordingstudio #recordingsession #songwriting #popmusic,Studio time 😊🎸🎧 with    and                    ,,2020-02-08T14:47:40.000Z
CS683lIFCEn,https://www.instagram.com/p/CS683lIFCEn/,,#musiclover #musicismylife #blackmagicwomen #carlossantana #latinmusic #bassguitar,Falling in love with the bass.. 💜💜          ,,2021-08-23T15:01:34.000Z
CRsK_KXlwrA,https://www.instagram.com/p/CRsK_KXlwrA/,82,#mexico #travel #cozumel #snorkeling #playa #yucatan #familytime #lavidaesuna,Disfrutando del paraíso 🏝🐬                 Ok ABS!! 😍🙌 🥰🥰🤩😍 Beach body check 👏👏,,2021-07-24T00:41:45.000Z
B2XnGvmolrx,https://www.instagram.com/p/B2XnGvmolrx/,,#liveshow #musiclife #justaminute #vienna #openair #popmusic #lovemusic #singer #vocalist #liveperformance #ladymechanic #guitarista #fender #stratocaster #femalemusicians #pop #wienstagram #vienna #femaledrummer #femalebassplayer #livemoments #stagetime,Had a blast tonight with   🎸🎸🎸                                            ❤️❤️ 🔥🔥🔥🔥🔥🔥🔥,,2019-09-13T23:04:42.000Z
B32QLhugTqE,https://www.instagram.com/p/B32QLhugTqE/,57,#singer #pop #viennamusic #womenonstage #femalebassist #femaleguitarist #hannakristall #musiclife #newmusic #instamusicians #fender #stratocaster #bladeguitars #liveonstage #musicismylife #musicaddict #guitarrista,Making a live Video with      Stage was on Fire 🔥                                 🔥🔥🔥🔥 So much fun at this concert!,,2019-10-20T17:03:18.000Z
B78cuN5FDbs,https://www.instagram.com/p/B78cuN5FDbs/,,#breatheagain #hannakristall #ladymechanic #liveonstage #music #musiclife #guitarist #solo #guitarsolo #guitarsolos #femaleguitarist #femalemusician #gitarristin #fender #stratocaster #bladeguitars #guitarrista #guitarlove,"Hey! New live - season with Hanna Kristall starting 😊 Here me and my guitar trying out new stuff on stage, hope you like it! 🎸🎸🎸🎸🎸                                    Amazing!!!🙌🏾🙌🏾🙌🏾🔥🔥🔥 💕💕🙌 I don't like it, I love it! 🔥🔥🔥🙌❤️😘👏 Awesome! 🔥 How long have you been playing? Wahnsinn, Carina!",,2020-01-30T12:58:49.000Z
B9d_wIMl_YN,https://www.instagram.com/p/B9d_wIMl_YN/,47,#sisterrosettatharpe #womeninbusiness #womeninpower #womensday #femaleartist #femaleinstrumentalist #femaleguitarist #strongwomen #femalerolemodels #influencer #musiclife #lgbtq #lgbt #heroine #gitarristin #feminist #rocknroll #blues #godmother #heldinnen #frauentag #frauentag2020,Sister Rosetta Tharpe: the GODMOTHER  of Rock’n’Roll “She could outplay Chuck. She could outsing Aretha. And she influenced everyone from Elvis to Rod.” (The Guardian) HAPPY WOMENSDAY TO EVERYBODY Let’s celebrate all women who fought for us to have what we got now. Unfortunately there is still a lot to be done... ...especially in the music scene: Women are massively underrepresented in the music industry. “more than two-thirds of the live music acts performing in the UK will feature no women on stage” (the Guardian) Also in Austria I am missing female instrumentalist in live acts. So grab your instruments and take your talents to the stage.  We need more role models like Sister Rosetta Tharpe 💪. Post your role model today!!! 😊                                            Happy international world women's day! 😍🙌🔥🔥🔥💖💖💖 ❤️ her,,2020-03-08T10:06:20.000Z
B0tmmIFALMf,https://www.instagram.com/p/B0tmmIFALMf/,56,#inspiration #inspiringmoments #thejacksons #thejacksonsontour #bestguitarist #steviewonder #guitarlovers #lovemusic #musiclife #legatorguitars #liveshow #guitarlife #backstage #guitarist,With   before the show with    GREAT INSPIRATION  Thx   for this great shot 😍                          ,,2019-08-03T18:51:49.000Z
CD9GKC6F0gs,https://www.instagram.com/p/CD9GKC6F0gs/,67,#sunday😊🎧 #produciendo #pop #femaleproducers #vocalproduction #vocals #melodyne,Producing   🎹          ,,2020-08-16T15:07:07.000Z
CL1CgIZlNw8,https://www.instagram.com/p/CL1CgIZlNw8/,48,#throwback #birthday #musiclovers #bestdrummer #inspiration #theviperroomhollywood #recordingsession #hannakristall,Happiest birthday 💛🎉 to you    Meeting you was one of the best moments and inspires me forever!! 🎼🎧😍               ❤️❤️ Awe!  Love you two! Thank you!!! COLLAB?💌 DM us ,,2021-02-28T08:12:25.000Z
