word_used,correlation
zeit,-5.1917311153874595
knapp,4.41109515161248
wurd,-0.7551337867644863
ha,-0.7071414055978362
di,-6.058776042007212
spitzengastronomen,2.342212007217866
verkostet,-1.1127817631547288
qualitaet,4.346122027491569
schmeckt,2.10312473627919
sensationel,-1.0149148196916116
werner,-1.152171208403525
schlicht,9.953409348614063
dank,-2.0192943397276752
fuer,1.8458867276078212
posit,-1.9543297772584305
feedback,-0.7235978730079777
spass,-1.2544401979649216
foto,0.25976166263935685
by,-4.376258990430383
dream,-5.220719428641793
of,-1.0501745691507258
white,2.77847714564129
christma,1.1961517098024537
wovon,-0.06388481610084185
tra,2.1307317096810117
umen,-1.1006438107712708
beerigen,0.16468340245676494
weihnacht,2.6312367162383152
unser,-1.8712707578821828
marri,0.410338738056387
wetter,6.836354722942319
garantiert,0.46309945820466236
xiaoao,-1.0717711097453706
begeistert,4.7607022865429585
kleiner,0.20932798100834304
gerad,0.9491067006658982
ueberlegt,-0.995241220634313
ganz,10.180390709855661
koennen,0.8859214442577461
eindrueck,15.435935331158705
gibt,3.7206792555417225
schon,-0.5840607197241027
bald,-0.8352867823881821
freuen,-2.177316973180141
sehen,-6.142301716312202
bereit,-3.129055624010867
second,-3.149677711531243
festiv,-0.7569946601866521
vorbei,-10.150208472431679
kannst,0.8317377403542299
kaum,-0.5981842103794189
offenhalten,-4.160127476272306
anregendem,-4.105546791044405
reifen,116.06976895547663
beeren,-0.3125843892543223
noetigen,-5.068071165951511
arbeit,-6.191180470420502
fit,-3.1231925296240557
vielen,0.2523332240695325
immer,4.716724207748519
fasziniert,-1.7431458852458679
gute,-2.482780988051178
wenn,10.158236105367475
geht,-6.575007675310562
besser,3.7108237830661435
kaffe,-3.8577809660444906
montag,-0.8414168749648917
braucht,1.085725019140049
motiv,16.58061696312798
schickt,-1.0964792716139435
mal,0.11443211412330301
rueber,-0.0583216933049181
klingt,0.1564583555366239
lecker,-2.248017861075223
soo,-0.5544760381240657
rot,-1.0845506634227184
farben,-0.1626324450194569
waermst,-0.004309523651128799
farb,-1.4122977976197966
steht,2.145014203011135
lieb,-5.490709444590648
leidenschaft,1.2525876242799001
klein,-4.896646899028722
geheimni,1.7012699473865809
verraten,-1.4904799040863792
manchmal,16.2456471661433
roten,-0.969820230618453
diamanten,7.999939241509049
unten,1.5442826994621892
eiste,0.5694954264735204
like,-0.7543040410262546
thx,3.9444468108586896
megafein,-1.1795111775861407
erst,0.08863584384827838
beruehrung,0.9299438891968369
ueber,0.0849390517768388
purem,-2.4833630652864125
glueck,-2.068796055319152
wenig,-0.026629846494934384
tage,-0.8945794199793691
warten,-0.35910935728648274
end,-1.0526215186012535
model,2.5925740516649207
eisgeku,0.8112602866546254
tierisch,-0.2688963031323311
moi,1.5652333307376942
traumwett,3.31279805674292
buch,0.005824974600765032
geniessen,1.0230895199628396
frisch,1.5399479576889203
busi,-0.19069452034719436
devil,-0.03778079366727738
absolut,0.001641554713279536
empfehlung,0.6462121756313802
wissen,0.0007446008012390593
prima,-1.8803520347515799
post,-4.700193311464428
thema,-10.874836542818773
freund,5.562663597049482
echt,-0.09292824158594903
life,-6.677714588111834
coach,0.027821518338836615
app,-0.0026739689552011114
veroeffentlicht,-0.1941831457162192
weiterzukommen,7.7808468400963715
sieh,-4.529315431985606
gern,0.9084478544210915
bio,-0.5772522303165728
commun,-1.7682130850932944
unglaublich,4.917953333482962
endlich,-4.520666833886949
mitteilen,-1.2842987108649275
neue,-0.5357672778639907
websit,37.17040179419995
ab,-4.536844975456837
heut,0.939613031954118
live,-6.08184291665299
schaut,-2.720467013753698
unbedingt,-1.901608525799515
link,-1.9983970308975925
kommentaren,-0.6756777142057684
supii,-1.8956433474862424
yesss,-5.494114730686881
sieht,-1.2443880315442324
geil,0.6539304029595178
launch,2.0040241339112046
event,-2.9042464485936006
ersten,-2.874697859834877
heu,0.0
wodka,-2.187773619797659
grosser,-0.9380922999977647
erfolg,0.8549909872186854
herzlich,-0.0848382517729308
dankeschoen,-2.6035708195874085
partner,6.222328542085082
best,-0.1720179825002196
weiter,0.05371187001224276
stay,0.0
tune,0.0
the,0.6370502748898919
lustig,-0.8990499496742509
nochmal,5.343064671332284
einladung,-3.119514997277871
toll,0.8852991958009022
me,-2.3837419839644647
grossartig,1.2899229481137122
jahr,3.7147655437816622
trotz,-2.187773619797659
vieler,2.654037534128872
unerwartet,2.3249174536210084
mo,0.0
chten,2.656816664693991
spannend,0.0
zuru,1.2684004556023891
ckblicken,0.0
zuwach,7.101344096968576
geniess,1.588987988231722
waehrend,2.3567751872382967
urlaub,0.0
schnell,3.5740892345145916
finden,9.022467005395843
wollten,0.7206701969321961
vorenthalten,0.0
runter,0.24798429370372643
jedoch,2.4863504065440303
besond,0.0
richtig,-2.1850470049278945
koennt,-3.269878305233461
empfehlen,-1.023115527314619
vegan,4.6198812495177215
essen,-0.9380922999977647
davon,0.0
go,0.0
wer,-1.0640530071614056
findet,-1.0916388361030545
wege,-0.18839382166202212
bilder,4.038945978986406
