id_of_post,NN,NNP,JJ,VBZ,VBP,RB,VBD,IN,NNS,LS,TO,VBN,WP,UH,VBG,DT,PRP,WP$,NNPS,PRP$,WDT,RBR,RBS,FW,RP,JJR,JJS,PDT,MD,VB,WRB,EX,SYM,CC,CD,POS,'',(,),.,",",:,``,$,--,#,likes_of_post
B1Vwhannnwc,44,20,5,1,2,,1,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,1,3,2,,,,,,57
B8YnfUinHjj,6,5,5,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,1,,,,,,39
B2eLPvGHKI1,15,18,11,,1,1,1,2,2,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,2,2,3,3,,,,,,90
B_w2Mz4n3Jx,13,16,12,,2,,3,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,1,,,,,105
CE_d7eTnaTJ,16,22,5,2,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,,,,,,80
B3t4Ua8HgIo,42,44,16,,1,4,2,4,5,,,1,,,,,,,,,,,,,,,1,,,,,,,,2,1,1,1,1,8,3,1,1,,,,
CGFtSIZngvh,19,18,5,1,,,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,7,,1,,,,,132
B96QIFMn7_s,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,96
B-eyuvCHO-s,46,37,17,5,3,,3,5,1,,,1,1,,,,,,,,,,,3,,,1,,,,1,,,3,,,,,,7,8,1,,,,,107
CE6aajQCC56,6,19,4,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,119
CGrvLWEn__G,15,14,3,2,,,,1,4,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,4,3,2,,,,,111
CPseY6xn16Y,33,26,14,2,4,2,,1,2,,,,,,,1,,,,,,,,1,,,,,,,1,,,2,,,,,,7,2,4,,,,,91
B-4aUTEnB5R,5,6,3,,,2,1,2,1,,1,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,2,,1,,,,,128
CE1TDqCn10-,6,6,1,1,1,,,3,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,1,1,,,,,125
B_R40YvHlBy,8,7,3,1,,,,1,,,2,,,,,,1,,,,,,,,,,,,,2,,,,1,,,,,,4,1,1,,,,,
Bv-w6jJg7qJ,5,4,5,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,64
BjZOj2mgto1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,49
B9ly-ncn_L0,29,35,9,1,3,1,1,6,2,,,,,,,1,,,,,,,,,,2,,,,,,,,1,1,,1,,,6,5,4,1,,,,89
Bypt1fcI-df,10,3,8,,2,1,2,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,,,,51
CR35VtQCdTE,30,22,11,1,2,,1,1,4,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,6,4,,1,,,,114
CAm75JInpVW,27,19,12,1,1,,2,3,2,,,,,,,,2,,,,,,,1,,,,,1,1,,,,2,,,,1,1,9,2,1,,,,,
CLuOC9ih775,4,4,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,104
CHLHRyrH_8s,15,19,8,,1,,2,4,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,2,4,3,1,1,,,,117
CKyzPIHnIt4,12,17,3,1,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,96
CMnDKb7nXNA,21,16,6,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,4,1,,,,,,103
BkVX-mLAWju,3,9,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,48
B9EgDM1n1NM,18,12,6,1,,2,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,3,,,,,5,2,3,,,,,155
CPIbTLYnW3L,22,15,5,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4,3,,,,,,67
CCBEoPhHi2_,10,11,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,84
B1a6YRzn0dJ,26,31,10,2,,1,1,1,,,,,,,1,2,,,,,,,,,,,1,,,,,,,,,1,,,,6,2,1,,,,,70
CLW23wIHEuW,12,12,6,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,74
CC9I86wIda1,30,28,9,5,2,1,3,3,2,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,1,9,2,2,,,,,98
CP0cBkwHhTT,13,13,5,2,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,6,,3,,,,,
BjewyhNgWey,3,6,1,,2,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
COidSdQn0lt,27,38,13,2,3,,1,3,1,,,1,,,,,,,,,,,,1,,,,,,,,,,2,,,,1,1,5,1,1,,,,,99
CAc4leEnRbl,12,9,6,,2,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,1,
B077eB-nizF,17,20,11,1,5,3,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2,2,1,,,,,37
CDO1-JnCLAy,28,31,8,1,4,1,,4,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,12,2,,,,,,94
