id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
B-FSzmCJgXX,https://www.instagram.com/p/B-FSzmCJgXX/,216,#Corona #staysafe #nurheute #racoonsquad #IPA #riedenburgerbrauhaus #alcoholfree #coronaaustria #quarantäne #crazy #bissiverrückt #einbisschenspaßmusssein #beersofinstagram #beerselfie #waschbär #quarantine #justtoday #stayhealthy #stayathome #drinkathome #nominierung #wirschaffendas #strongertogether #dankeanallehelfer #germanbeer #deutschesbier #covidaustria #beerstergram #igergraz #2bear✌🏼🍻🍺🦀,"The reason why we don't post regularly at the moment is, that we have a high risk member and avoid our meetings to keep him safe. Bear with us and see you all after this   horror is over. Love you all ♥ The Beveridgers🍻                                                         bleibts gsund! 🍻",,2020-03-23T16:23:13.000Z
CFPvL7RJaAm,https://www.instagram.com/p/CFPvL7RJaAm/,125,#jacobson #danishbeer #yakima #Dänemark #photography #instabeer #beertasting #denmark #instagood #beveridgers #bierfotos #beerphotography #madeindenmark #tasting #brews #beerofinstagram #hygge #beerporn #austrian_bloggers #igersaustria #beerlove #tastetesting #bier #beeradvocate #graz #bierkultur,"Name: Yakima IPA Jacobsen General: Alc/Vol: 6.5 % Color: Golden Origin: Denmark Originality: Normal Scent: Subtle Hop Nuances, Citrus Hints  Characteristics: Taste: Subtle Bitterness, Hoppy Sprightliness: Medium Overall Rating: 13,6/20 Enjoy ✌                                                   Geiles Glas",,2020-09-17T17:23:22.000Z
B9EWaW4pCZ4,https://www.instagram.com/p/B9EWaW4pCZ4/,510,#doldendark #drinks #testing #craftbeer #dunkles #photography #instabeer #dark #spezialität #schwarzbier #beveridgers #beverage #bayern #germany #tasting #beerstergram #riedenburgerbrauhaus #review #nowater #austrian_bloggers #biodrink #porter #tastetesting #productfotography #craftbeer #critics #rating #guteӏаunе #guteӏаunе,"Name: Riedenburger Dolden Dark General: Alc/Vol: 6.9 % vol Color: Black Origin: Germany Originality: Normal Scent: Roasted Malts, Coffee Characteristics:  Taste: Roast Aroma, Coffee and Chocolate Notes Sprightliness: Standard Overall Rating: 16,3/20 Enjoy ✌                                                       ",,2020-02-27T11:04:05.000Z
CCG4p6hptkp,https://www.instagram.com/p/CCG4p6hptkp/,152,#bundaberg #drinks #testing #beer #ginger #bierblogger #gingerbeer #beertasting #bierfotos #bierfreunde #beveridgers #beverage #igersgraz #taste #tasting #australia #bierkultur #craftbeer #beerporn #wirtesten #craftbier #aussie #tastetesting #bier #beerlove #beerlovers #bierfreunde #bieredegarde #beermates #gingerbrew,"Name: Bundaberg Ginger Beer General: Alc/Vol: Non alcoholic Color: Bright Lemon Origin: Australia Originality: Normal Scent: Subtle Ginger Aroma Characteristics: Taste: Balanced Bitterness and Sweetness, Ginger Aroma is not overwhelming  Sprightliness: Medium Overall Rating: 15.3/20 Enjoy ✌                                                            ",,2020-07-01T17:18:46.000Z
B_2rBvKJsHD,https://www.instagram.com/p/B_2rBvKJsHD/,197,#mikkeller #drinks #testing #beer #darkbeer #bierblogger #quadrupel #beertasting #bierfotos #bierfreunde #beveridgers #beverage #igersgraz #taste #tasting #denmark #bierkultur #craftbeer #beerporn #wirtesten #craftbier #dänemark #tastetesting #bier #beerlove #beerlovers #bierfreunde #fruchtig #rating #raspberry,"Name: Mikkeller Raspberry Quadrupel General: Alc/Vol: 13 % Color: Dark Brown Origin: Denmark Originality: High Scent: Malty Sweet, Sour Raspberry Characteristics: Taste: Complex Raspberry Jam with Roasted Malt Nuances Sprightliness: Medium Overall Rating: 14,3/20 Enjoy ✌                                                             🍺 🍺",,2020-05-06T17:09:02.000Z
B9mnj8LpfK8,https://www.instagram.com/p/B9mnj8LpfK8/,240,#vulkanbier #drinks #testing #beer #vulkanbrauerei #bierblogger #paleale #beertasting #bierfotos #birra #beveridgers #beverage #igersgraz #taste #tasting #germany #bierkultur #craftbeer #beerporn #wirtesten #craftbier #cerveza #tastetesting #bier #beerlove #beerlovers #bierfreunde #wochenteiler #rating #humpday,"Name: Vulkan Pale Ale General: Alc/Vol: 4.9 % Color: Amber Origin: Germany Originality:  Normal Scent: Tropical Fruits Characteristics: Taste: Citrus Fruits, Slightly Mellow Bitterness Sprightliness: Medium Overall Rating: 13,6 /20 Enjoy ✌                                                             Vielen Dank für deinen Beitrag über uns! 🍻❤️ Wir freuen uns sehr darüber - Prost! 🔥🤩🍻👍",,2020-03-11T18:28:07.000Z
CAx60Mjp0eK,https://www.instagram.com/p/CAx60Mjp0eK/,164,#lagoudale #drinks #testing #beer #ambree #bierblogger #quadrupel #beertasting #bierfotos #bierfreunde #beveridgers #beverage #igersgraz #taste #tasting #france #bierkultur #craftbeer #beerporn #wirtesten #craftbier #frankreich #tastetesting #bier #beerlove #beerlovers #bierfreunde #bieredegarde #rating #bierebrune,Name: La Goudale Ambree General: Alc/Vol: 7.2 % Color: Dark Brown Origin: France Originality: Normal Scent: Malty Sweetness Characteristics: Taste: Bitter Nuances with a Sweet Touch Sprightliness: Medium Overall Rating: 12.6/20 Enjoy ✌                                                           🍻,,2020-05-29T17:22:12.000Z
CEPWwYaJ2QN,https://www.instagram.com/p/CEPWwYaJ2QN/,148,#monyo #drinks #madeinhungary #photography #flyingrabbit #AmericanIPA #beer #beveridgers #beverage #AIPA #taste #tasting #austrian_blogger #drinkblogger #beerblogger #tastetesting #igergraz #productfotography #hungary #beerlove #craftbeer #craftbier #beerlovers #beertasting #vienna #IndiaPaleAle #IPA #ınstagood #nice #bierkultur,"Name: Flying Rabbit - Monyo Brewing General: Alc/Vol: 6.5 % Color: Amber Origin: Hungary Originality: Standard Scent: Bitter, Fruity Characteristics: Taste: Fruity, Caramel Notes, Balanced Bitter Aftertaste Sprightliness: Medium Overall Rating: 16.6/20                                                           Yes yes yes 👍",,2020-08-23T17:18:30.000Z
B89Z5bJJh6U,https://www.instagram.com/p/B89Z5bJJh6U/,414,#epa #drinks #testing #beer #GreatBritain #photography #instabier #beertasting #bier #igersgraz #beveridgers #beverage #biere #taste #tasting #marstons #englishpaleale #beerstergram #beerporn #biertrinker #Depot_online #graztrinkt #tastetesting #photoshooting #beerlove #beerlovers #igersaustria #nowater #rating #dіnnеrtіme,"Name: Marstons EPA General: Alc/Vol: 3.6 % Color: Pale Golden Origin: Great Britain Originality: Normal  Scent: Citrus Fruits, Grass Characteristics:  Taste: Hints of Lemon, Fast Fading Bitterness  Sprightliness: Medium Overall Rating: 11.3/20 Enjoy ✌                                                             🙌 🙌 🙌 🙌 🙌 🙌 🙌 🙌 🙌 🙌🙌 🙌 🙌",,2020-02-24T18:19:52.000Z
B9Ulyl0pHPL,https://www.instagram.com/p/B9Ulyl0pHPL/,162,#ichbinwasser #drinks #madeinaustria #photography #urbandrinks #stayhydrated #fair #beveridgers #beverage #grapefruit #taste #tasting #igersgraz #trinktmehrwasser #summerfeeling #biodrink #tastetesting #photoshooting #biologisch #hipster #wassermitgeschmack #vegandrink #trinken #softdrink #awesome #yummy #bio #veggie #österreich #vegan,"Name: ichbinwas?er Grapefruit General: Color: Hazy Lemon Origin: Austria Scent: Grapefruit  Characteristics: Taste: Light Grapefruit Taste, Nuances of Herbs Sprightliness: none Vegan: yes Bio: yes Kcal: 4/100ml  Enjoy ✌                                                             Schön arrangiert 👏💓",,2020-03-04T18:26:19.000Z
CJN8sUfFAZQ,https://www.instagram.com/p/CJN8sUfFAZQ/,105,#christmas #drinks #christmasday #weihnachten #noel #photography #holidays #feliznavidad #bier #beer #beveridgers #beverage #belgium #taste #tasting #proud #beerlove #Instafamily #joyeuxnoel #christtag #igersgraz #froheweihnachten #tastetesting #greetings #buonnatale #darkbeer #merrychristmas #instabier #instabeer #special,"Name: Delirium Christmas General: Alc/Vol: 10 % Color: Deep Mahagony with a white Head Origin: Belgium Originality: Normal Scent: Orange Zest, Berries, Sweet Malts Characteristics: Taste: Caramel and Malt with a Dark Fruity Touch Sprightliness: Standard Overall Rating: 14.3/20 Enjoy the holidays 🌲🌲                                                           ",,2020-12-25T10:48:29.000Z
B-19oOwpWJL,https://www.instagram.com/p/B-19oOwpWJL/,220,#rammlerbräu #drinks #testing #beer #festtagsbier #bierblogger #festbier #beertasting #bierfotos #bierfreunde #beveridgers #beverage #igersgraz #taste #tasting #germany #bierkultur #craftbeer #beerporn #wirtesten #craftbier #ostern #tastetesting #bier #beerlove #beerlovers #bierfreunde #easter #rating #osterbier,"Name: Rammlerbräu Festbier General: Alc/Vol: 5.9 % Color: Hazy Amber Origin: Germany Originality:  Normal Scent: Malty Sweet Characteristics: Taste: Malty, Full Bodied Sprightliness: Medium Overall Rating: 14,3/20 Enjoy ✌                                                             🍻🍻🍻🍻👍 😍😍😍",,2020-04-11T14:00:57.000Z
B9PZWflp_LH,https://www.instagram.com/p/B9PZWflp_LH/,618,#anchorsteam #drinks #testing #beer #sanfrancisco #craftbeer #instabier #beertasting #bier #birra #beveridgers #beverage #biere #taste #craftbier #USA #beerstagram #beerporn #afterwork #raiseyouranchor #craftdrinkers #tastetesting #photoshooting #beerlove #beerlovers #Ale #libertyale #nowater #lеtsstаrttuеsdаyеvеning #craft,"Name: Anchor Steam Liberty Ale General: Alc/Vol: 5.9 % Color: Pale Honey Origin: USA Originality: Normal Scent: Citrus Fruits, Hops and Malts Characteristics: Taste: Hoppy, Subtle Malty Sweetness Sprightliness: Normal Overall Rating: 16.3/20 Enjoy ✌                                                          ",,2020-03-02T18:01:25.000Z
B8enbEpJotJ,https://www.instagram.com/p/B8enbEpJotJ/,506,#apple #drinks #testing #cider #apfelperlwein #photography #instacider #cidergram #madeinaustria #beveridgers #beverage #äpfel #steirischercider #tasting #styria #grazider #zider #apples #austrian_bloggers #graz #steirer #tastetesting #productfotography #applecider #applewine #apfelwein #madeingraz #depot_online #nowater,"Name: Grazider General: Alc/Vol: 4.2 % Color: Clear Golden Origin: Austria Originality: Normal Scent: Fresh Ripe Apples Characteristics: Taste: Fresh Apples, Dry, Smooth Sprightliness: Medium Overall Rating: 16.3/20 Enjoy ✌                                                          Ich liebe Cider! Cider ist sehr lecker 🤗",,2020-02-12T19:21:36.000Z
CDjoIu6pDVS,https://www.instagram.com/p/CDjoIu6pDVS/,164,#nextlevel #drinks #madeinaustria #photography #frontman #dryhopped #beer #beveridgers #beverage #helleslager #taste #tasting #austrian_blogger #drinkblogger #beerblogger #tastetesting #igergraz #productfotography #austria #beerlove #craftbeer #craftbier #beerlovers #beertasting #vienna #lager #helles #ınstagood #lager #bierkultur,"Name: Front Man - Next Level Brewing  General: Alc/Vol: 5 % Color: Bright Gold Origin: Austria Originality: Standard Scent: Hops Characteristics: Taste: Subtle Citrus Fruitiness, Bitter Notes Sprightliness: medium Overall Rating: 16,3/20                                                           Skál! 🍻🍻🍻 🔝😎👏👏👏🍻🍻",,2020-08-06T17:43:47.000Z
