community_clusters,hashtags_of_community_clusters,score_of_community_clusters,k_mean_clusters,hashtags_of_k_mean_clusters,score_of_k_mean_clusters,levenshtein_clusters,hashtags_of_levenshtein_clusters,score_of_levenshtein_clusters,best_clusters,hashtags_of_best_clusters,score_of_best_clusters
community cluster 1,"['cat', 'skiing', 'venice', 'sun', 'weather', 'snow', 'beautiful', 'vacation', 'croatia', 'sunglasses', 'summer', 'mountains', 'holiday']",141.75,k mean cluster 1,[],0.0,levenshtein cluster 1,"['graz', 'bestes', 'bts', 'team', 'snow', 'grow', 'best', 'meat', 'benq', 'bar', 'boss', 'xeen', 'tee', 'em', 'break', 'crazy', 'Graz', 'great', 'dream', 'brot']",84.0,community cluster 22,"['travelphotography', 'travelgram', 'sun', 'view', 'sunshine', 'sunset', 'italy', 'vacationmode', 'greece', 'friends', 'graz', 'summer', 'love', 'life', 'austria', 'photography', 'holiday']",261.04999999999995
community cluster 2,"['venice', 'great', 'sun', 'travel', 'beautiful', 'tennis', 'instagood', 'best', 'photooftheday', 'summer', 'sunglasses', 'mountains', 'kroatien', 'sea']",148.20000000000002,k mean cluster 2,['happynewyear'],9.75,levenshtein cluster 2,"['summer', 'sumpf', 'yummy', 'sun', 'sunset', 'sunday', 'sommer', 'hunger', 'soccer', 'pumps', 'yummi', 'funny', 'tea', 'tbt', 'singer', 'burger', 'sunny', 'curry', 'kumberg']",116.55000000000001,community cluster 16,"['sunset', 'friends', 'graz', 'inlove', 'travelgram', 'sun', 'view', 'sunshine', 'explore', 'vacationmode', 'greece', 'summer', 'happyme', 'austria', 'nature', 'india', 'photography', 'love', 'life', 'travel']",248.0
community cluster 3,"['spielberg', 'sun', 'instagood', 'beautiful', 'view', 'green', 'nice', 'photooftheday', 'summer', 'croatia', 'pool', 'bay', 'vacation', 'hiking', 'great', 'holiday', 'sea']",156.39999999999998,k mean cluster 3,['danielabt'],1.9500000000000002,levenshtein cluster 3,"['igergraz', 'igersgraz', 'igerslinz', 'cidergram', 'igerswien']",54.25,community cluster 11,"['inlove', 'travelgram', 'happynewyear', 'sun', 'view', 'sunshine', 'italy', 'vacationmode', 'summer', 'graz', 'friends', 'austria', 'love', 'happyplace', 'holiday', 'home']",243.6
community cluster 4,"['cat', 'skiing', 'venice', 'sun', 'beautiful', 'view', 'nice', 'vacation', 'croatia', 'pool', 'bay', 'great', 'holiday']",105.30000000000001,k mean cluster 4,"['sharmelsheikh', 'vitaminsea', 'sunflower']",11.100000000000001,levenshtein cluster 4,"['wetter', 'nature', 'cats', 'uae', 'game', 'natur', 'skate', 'mate', 'future', 'meat', 'atp', 'vote', 'tarte', 'water', 'lake', 'mode', 'dose', 'winter', 'singer', 'taste', 'ingwer']",65.55,community cluster 17,"['animals', 'sunshine', 'tea', 'sunset', 'stayhome', 'happyplace', 'greece', 'graz', 'friends', 'happyme', 'love', 'vacationmode', 'summer', 'austria', 'holiday']",242.5
community cluster 5,"['venice', 'cat', 'spielberg', 'instagood', 'beautiful', 'view', 'nice', 'photooftheday', 'summer', 'vacation', 'croatia', 'pool', 'bay', 'hiking', 'great', 'holiday']",148.79999999999998,k mean cluster 5,"['valentinesday', 'happydunes', 'philippines']",14.8,levenshtein cluster 5,"['setup', 'startup', 'sun', 'stadt', 'art', 'startups', 'wald', 'öbb', 'gala', 'benq', 'dp', 'tarte', 'a7s', 'xeen', 'cine', 'em', 'TOP', 'cpu', 'cgi', 'vfx', 'c4d']",54.15,community cluster 15,"['animals', 'graz', 'history', 'travelphotography', 'sun', 'italy', 'valentinesday', 'explore', 'blackouttuesday', 'nurheute', 'vacationmode', 'summer', 'austria', 'nature', 'australia', 'photography', 'love', 'travel', 'holiday', 'sea']",242.0
community cluster 6,"['cat', 'view', 'green', 'mountains', 'photooftheday', 'vacation', 'summer', 'croatia', 'pool', 'nice', 'hiking', 'best', 'travel', 'holiday']",157.3,k mean cluster 6,"['sandplatz', 'sevenworldwonders']",3.8,levenshtein cluster 6,"['win', 'mut', 'jan', 'sea', 'sunny', 'gin', 'fun', 'uk', 'brot', 'hund', 'sun', 'see', 'soon', 'funny', 'art']",95.0,community cluster 887,"['goodvibes', 'family', 'repost', 'wandern', 'sun', 'summervibes', 'sunshine', 'birthday', 'tattoo', 'cats', 'fashion', 'graz', 'austria', 'happiness', 'flowers', 'styria']",231.6
community cluster 7,"['cat', 'spielberg', 'instagood', 'view', 'nice', 'photooftheday', 'croatia', 'hiking', 'holiday']",100.75,k mean cluster 7,"['sailingboat', 'wildlife', 'enjoyinglife', 'stillablondie']",7.2,levenshtein cluster 7,"['ligt', 'sumpf', 'sushi', 'dubai', 'yoga', 'yummy', 'cool', 'dell', 'gala', 'dusk', 'ikea', 'boss', 'cine', 'yummi', 'usa', 'cpu', 'cgi', 'sunny', 'ship', 'c4d']",41.0,community cluster 14,"['animals', 'tea', 'sunset', 'graz', 'history', 'travelgram', 'italy', 'valentinesday', 'explore', 'blackouttuesday', 'vacationmode', 'greece', 'summer', 'austria', 'nature', 'dream', 'memories', 'love', 'travel', 'holiday']",229.0
community cluster 8,"['cat', 'spielberg', 'tennis', 'croatia', 'history', 'friends', 'travelphotography', 'inlove', 'travelgram', 'sun', 'view', 'best', 'mountains', 'skiing', 'vacation', 'tb', 'photography', 'travel', 'holiday', 'sea']",142.0,k mean cluster 8,"['pyramids', 'ancient']",3.8,levenshtein cluster 8,"['zeit', 'jp', 'fair', 'uae', 'bf', 'holiday', 'holidays', 'bier', 'see', 'sunday', 'win', 'sundown', 'red', 'moon', 'funny', 'monday', 'friday', 'uk', 'sunnydays', 'hund', 'town']",67.45,community cluster 24,"['animals', 'sun', 'vitaminsea', 'sunshine', 'sunset', 'stayhome', 'vacationmode', 'greece', 'graz', 'italy', 'austria', 'love', 'summer', 'happyplace', 'philippines', 'sea']",228.0
community cluster 9,"['dream', 'happynewyear', 'tb', 'view', 'sunshine', 'sunset', 'nice', 'vacationmode', 'vacation', 'summer', 'pool', 'austria', 'love', 'bay', 'travel', 'holiday', 'nye']",197.79999999999998,k mean cluster 9,"['gymlife', 'nye2021', 'explore', 'smile']",19.8,levenshtein cluster 9,"['win', 'women', 'view', 'linz', 'wow', 'vino', 'jan', 'bio', 'xeen', 'cine', 'wine', 'bier', 'gin', 'diy', 'wein', 'wien', 'eis', 'rain']",69.30000000000001,community cluster 216,"['salzburg', 'foodporn', 'croatia', 'goodvibes', 'sun', 'flowers', 'happyweekend', 'hiking', 'summertime', 'weekendmood', 'foodlover', 'happyday', 'vacation', 'summer', 'austria', 'seafood', 'tb', 'weekend', 'summervibes', 'photooftheday']",219.0
community cluster 10,"['blackouttuesday', 'travelphotography', 'happynewyear', 'tb', 'beautiful', 'tea', 'greece', 'graz', 'valentinesday', 'memories', 'home', 'nature', 'explore', 'photography', 'nye']",175.0,k mean cluster 10,['uaelife'],1.9500000000000002,levenshtein cluster 10,"['Gewinnspiel', 'gewinnspiel']",30.4,community cluster 18,"['travelphotography', 'blackouttuesday', 'inlove', 'travelgram', 'sun', 'view', 'tea', 'italy', 'photography', 'history', 'austria', 'nature', 'friends', 'graz', 'travel', 'philippines', 'sea']",217.35
