username,like_linda,like_karl_peter,like_sandy,like_kevin,like_martin,like_claudia,used_hashtags
cluster 11,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#ınstagood', '#instafood', '#drinkstagram', '#instagram', '#instagood', '#]']"
cluster 12,0.0%,16.67%,0.0%,11.11%,0.0%,0.0%,"['#food', '#pool', '#wood', '#moon', '#foto', '#bowl', '#ootd', '#wald', '#foodie', '#soon', '#cool', '#meow', '#cold', '#mood', '#]']"
cluster 13,0.0%,0.0%,0.0%,0.0%,16.67%,0.0%,"['#freude', '#drinks', '#friendship', '#drink', '#ferien', '#trinken', '#friends', '#greece', '#fresh', '#]']"
cluster 14,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#icedtea', '#icetea', '#]']"
cluster 15,8.33%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#foodblog', '#foodlovers', '#foodblogger', '#foodlover', '#]']"
cluster 16,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#österreich', '#Österreich', '#]']"
cluster 17,0.0%,0.0%,0.0%,11.11%,0.0%,0.0%,"['#cat', '#job', '#liebe', '#bbq', '#like', '#tee', '#tb', '#art', '#tea', '#cake', '#cute', '#tbt', '#]']"
cluster 18,0.0%,0.0%,14.29%,11.11%,0.0%,0.0%,"['#music', '#dusk', '#musik', '#]']"
cluster 19,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#Lockdown', '#lockdown', '#london', '#slowdown', '#]']"
cluster 20,0.0%,0.0%,14.29%,0.0%,0.0%,0.0%,"['#tasty', '#tarte', '#taste', '#india', '#party', '#curry', '#cherry', '#energy', '#marry', '#pasta', '#insta', '#]']"
cluster 21,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#sea', '#team', '#tee', '#see', '#tea', '#]']"
cluster 22,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#montag', '#mountains', '#mountain', '#]']"
cluster 23,8.33%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#healthy', '#health', '#]']"
cluster 24,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#cocktails', '#cocktailbar', '#cocktail', '#]']"
cluster 25,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#naturelover', '#naturelovers', '#naturelove', '#]']"
cluster 26,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#winter', '#winzer', '#singen', '#ingwer', '#ginger', '#hunger', '#]']"
cluster 27,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#coffeelovers', '#coffeelover', '#]']"
cluster 28,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#verrucktnachmarry', '#verrücktnachmarry', '#verrücktnachbarry', '#]']"
cluster 29,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#nice', '#loveit', '#love', '#liebe', '#nye', '#inlove', '#rose', '#nike', '#mylove', '#winelife', '#venice', '#life', '#vote', '#like', '#lake', '#home', '#mode', '#dose', '#winelover', '#cover', '#horse', '#]']"
cluster 30,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#sonntag', '#sunnyday', '#montag', '#sunnydays', '#sunday', '#monday', '#]']"
cluster 31,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#cute', '#cake', '#lake', '#]']"
