username,like_linda,like_karl_peter,like_sandy,like_kevin,like_martin,like_claudia,like_best_cluster_of_all,like_best_cluster_of_top_20,used_hashtags
maria,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",['#fetus_naja']
melihbasavci,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#istanbulsozlesmesi', '#HearTheTurkishStudents', '#VakalarArtıyorSınavlarİptal', '#neyapacağız', '#JusticeForTurkishStudents', '#YaİstifaYaİptal', '#lebaleb', '#İstanbulSoezlesmesiYasatır', '#ZeytinliOlduğunaİnanmıyoruz', '#KadınCinayetleriPolitiktir', '#İstanbulSozlesmesiYasatir', '#dolar', '#devaluasyon', '#MutsuzumÇünkü', '#HearTurkishStudents', '#İstanbulSözleşmesiYaşatır', '#Bitcoin', '#Avalanche', '#Dogecoin', '#BitTorrent', '#Ethereum', '#Crypto', '#AVAX', '#HOT', '#DOGE']"
AuStanLee,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#uwu', '#datenight', '#swag', '#plantbased', '#based', '#doge', '#dogearmy', '#BODEQUALITY']"
PhuLe7,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
The,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#UFO', '#UFOtransparency', '#ExtraordinaryBeliefs', '#ufotwitter', '#UAP', '#NewProfilePic', '#ufo', '#uap', '#eben', '#area51', '#s4', '#s2', '#groomlake', '#watertown', '#theranch', '#nevada', '#edwardsairforce']"
SadeKin33320883,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"11.76%, Cluster: community cluster 955","['#KentuckyFriedFalcon', '#Win', '#WinitWednesday', '#junkfoodday', '#Dominex', '#Frychos', '#COMPETITION', '#Breville', '#WIN', '#MoneyGramMonday', '#sorrynotsorry', '#BT21', '#dice', '#dnd', '#ttrpg', '#giveaway', '#freeskins', '#csgoskins', '#csgoskinsgiveaway', '#csgo', '#csgocases', '#csgocase', '#skins', '#farmskins', '#GIVEAWAY', '#CashAppExtraCredit', '#hintwater', '#Giveaway', '#InternationalFriendshipDay', '#HintWater', '#TigerBalmPatches', '#PainRelief', '#Contest', '#GiveawayAlert', '#WhyIChime', '#LedoPizza', '#CashAppTrivia', '#MrBarBQ', '#GrillPerks']"
mannyfrsh101,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#KOTG', '#44', '#popsmoke', '#NewProfilePic', '#cashappfriday', '#CULTURE', '#Rockets', '#masterpiece', '#WithoutRemorse', '#BottomOfTheMap', '#TEXAS', '#12yearsstrong', '#wifey', '#BeachLife', '#CashAppFriday', '#BudLightStimmyTix', '#BudLightSummerStimmy', '#Sweepstakes', '#UncivilisedMuts', '#CryMacho', '#TeaWithCousinT']"
AlfangryAli,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#حرائق_الغابات', '#تونس']"
wax,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
fenrir,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#olchan', '#rkgk', '#worldoftanks', '#VR', '#VRGamers', '#cyberpunk', '#Moxe', '#pastel', '#VTuber', '#Vライバーの靴がみたい']"
