username,like_linda,like_karl_peter,like_sandy,like_kevin,like_martin,like_claudia,like_best_cluster_of_all,like_best_cluster_of_top_20,used_hashtags
EmmaStailing,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"5.56%, Cluster: community cluster 502","['#2021', '#NewProfilePic', '#BeAOrganDonor', '#SameDayPremieres', '#amen', '#KEEMsBored', '#ReadTheSigns']"
Dubem,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#Euro2020', '#AVLFUL', '#PL', '#FanTeam', '#FACup', '#CHELEI', '#FanTeamMillion', '#EuroFantasy', '#5ivers', '#EURO2020', '#Fantasy5', '#PeaceBeStill', '#Nigeria', '#Airdrop', '#IDO', '#iMM', '#Community', '#NFT', '#game', '#play2earn', '#XWG', '#KCCPad', '#ETH', '#KCC', '#kommunitas', '#Polygon', '#FPLCommunity', '#FPL']"
johncarrion515,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
ethereum,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#NFTs', '#Etherum', '#NFTCommunity', '#NFTcollection', '#nftcollector', '#NFTartist', '#NFTART__FINANCE', '#NFTGiveaway', '#nftcard', '#OpenSeaNFT', '#opensea', '#nftcollectors', '#nftart']"
AlexandriaCoxT1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"10.0%, Cluster: community cluster 525","['#NewProfilePic', '#Polygon', '#StarbucksThailand', '#kittyzen', '#love', '#Respectfully', '#astrology', '#selfie', '#Apple', '#FlyEaglesFly', '#CriticalRole', '#lunch', '#Invincible', '#dirtgodfriday', '#tea', '#churchill', '#Dogefather', '#dogecoin', '#NFT', '#sofia', '#stocks', '#Smart', '#peanutbutter', '#mom', '#MotherNature', '#blessed', '#hercules', '#AAPIHeritageMonth', '#AMillionLittleThings', '#BTC', '#Queen', '#leggings', '#Nicki', '#Versace', '#BlueLivesMatter', '#cosplay', '#SundayFunday', '#Crypto', '#FaithAndFreedom', '#BuildBackBetter', '#Cali', '#tinasnow', '#DuaLipa', '#dadlife', '#amazing', '#HappyFathersDay', '#Shaq', '#buythedip', '#Microsoft', '#PlanetHer', '#COVID19', '#RaiderNation', '#NFL', '#7NEWS', '#FoxNews', '#CNN', '#Breaking_news', '#lol', '#F1', '#accountant', '#Foodie', '#CardiB', '#HappierThanEver', '#Periodt', '#premiumoutlets', '#orlando', '#water', '#Heartfelt', '#a11y', '#sustainability', '#hospitalityindustry', '#cleaningservice', '#sustainablehotels', '#Sustainablefashion', '#Sustainablehospitality', '#SouljaBoy', '#mood', '#DisabilityTwitter', '#FoodFriday', '#KanyeWest', '#Christ', '#please', '#riteofpassage', '#humanism', '#interfaithsolidarity', '#Floridians', '#DesantisDestroysFlorida', '#DeathSantis', '#RonDeSantis', '#ColeWorld', '#Orlando', '#FridayVibes']"
KezaKhiq,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",['#50YearsOfFlavour']
BestAdamDaGoat,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#ShockedSummerMovie', '#shockedsummermovie', '#freshfriedandcrispy', '#giveaway', '#SalesforceLabsDay', '#sweepstakes', '#THINSProtectionProgram', '#Sweepstakes', '#ULTRATinkerDrop', '#SARGENTOMacAndCheeseDay', '#cashapptrivia', '#Funko', '#FunkoPop', '#FunkoGiveaway', '#DungeonsandDragons', '#cashappextracredit', '#CashAppExtraCredit', '#lucagiveaway', '#9261', '#DinnerWithWandaVision', '#DashToSchool', '#Entry', '#VenmoMe']"
Sam33890621,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#WeLoveWWS', '#WWSBDAY', '#overlookbay', '#AdoptMe', '#AdoptMeUpdate', '#AdoptMeTheory', '#AMTrading', '#Roblox']"
CherylGilmartin,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"11.76%, Cluster: community cluster 955","['#KLetsWinThis', '#sweepstakes', '#WIN', '#FreshStart', '#FloridaStrawberries', '#SumoCitrus', '#NotYourGrannysBakeOff', '#win', '#Epson', '#hiipoo', '#giveaways', '#freebies', '#contests', '#winprizes', '#VideoDoorbell', '#Doorbell', '#IntercomSystem', '#VideoSurveillance', '#SmartDoor', '#SmartDoorbell', '#Sweepstakes', '#Giveaway', '#Sweeps', '#Contest', '#MMSsweepstakes', '#DreamCloudLOVESsleep', '#DCSleepAwarnessWeek', '#SamAdams', '#NABISCOSnackBracket', '#JustMagicalMarshmallows', '#magicallydelicious', '#Crowdfunding', '#Crowbits', '#LEGO', '#STEM', '#Kickstarter', '#letscode', '#NectarLOVESsleep', '#NectarSleepAwarnessWeek', '#DippinDots', '#HappyMothersDay', '#Bestof2021Sweepstakes', '#GoGosqueeZ', '#EBCBrakes', '#DetroitMuscle', '#GasGrill', '#BBQ', '#Grill', '#grilling', '#contest', '#giveaway', '#summer', '#luxury', '#SwitchBot', '#TrySwitchBot', '#NationalIcedTeaDay', '#SippinWithLipton', '#SmartyPigSummerCamp', '#livefeetfirst']"
AnasAboulwafa50,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
Laxziz602,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#Smite', '#corgi', '#bdoconsole', '#xbsx', '#playlostark', '#HIAC', '#blackdesertconsole', '#Corgi', '#BlackDesert', '#mexicanwordoftheday', '#NotAnAd', '#Marauders', '#NewWorldMMO', '#PLAYNEWWORLD', '#NewWorld', '#Beta']"
ali62513,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#عنابستانی', '#دلار', '#بهمن_99', '#مرگ_بر_خامنه', '#BureaucratBailout', '#سراوان_تنها_نیست', '#مزدوریواشکی', '#رامین_پرچمی', '#No2China', '#خاک_بر_سرت_بهنود', '#نه_یه_جمهوری_اسلامی', '#نه_به_جمهوري_اسلامي', '#رای_بی_رای', '#نه_به_جمهوری_اسلامی', '#نه_به_جمهوی_اسلامی', '#وقتی_سوزن_رو_فرو_کرد_به_دست_آقا_قلبم_تیر_کشید', '#ایران_اینترنشنال', '#أفغانستان', '#توئیت_مرگ']"
Umar,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#Barca', '#Messi', '#HalaMadrid', '#ElClasico', '#IStandWithPantami', '#PantamiWillStay', '#Ramadan', '#PINKMOON', '#NewProfilePic', '#Fast9']"
RedMeow24,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#BlackOwnedBusiness', '#pressonnails', '#SupportSmallBusinesses', '#nailart', '#pressons', '#ValentinesDay', '#retweet', '#tuesdayvibe', '#SmallBusiness', '#TikTok', '#DQSweetestSeasonPass', '#DQSweepstakes', '#Sweepstakes', '#BSBirthdaySweeps', '#SmithworksVodka', '#sweepstakes', '#DashToSchool', '#Entry', '#VenmoItForward', '#CheersTo21Years', '#TasteOfTheIslands', '#Giveaway', '#JohnnieWalkerEqualityDaySweepstakes', '#WomensEqualityDay']"
HentLord,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#WWERaw', '#MITB', '#RatedR', '#edge', '#ad', '#wakeitup', '#JUSTICEFORBARRY', '#dicksoutforbarry', '#justiceforbarry', '#welovelorde', '#BlackOpsColdWar', '#Warzone', '#TransRights', '#MAGATerrorists', '#Kamille', '#AEWDynamite']"
phkim34,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#TheOfficeSweepstakes', '#PeacockTV', '#KLetsWinThis', '#Giveaway', '#5Gsfor5G', '#contest', '#MODPizzaMonday', '#FarewellMadea', '#TheOvalOnBET', '#Sweepstakes', '#WearTheRainbow', '#Funko', '#Funkogiveaway', '#giveaway', '#WonderWoman', '#LiptonHeartChallenge', '#sweeps', '#NationalLoveYourPetDay', '#PetLover', '#FurMom', '#ToyotaRacingGiveaway', '#madeafarewell', '#TMobileTuesdays', '#Coming2America', '#CashAppBitcoin', '#triviartois', '#ShareAStella', '#TriviArtois', '#attexplore', '#sweepstakes', '#cashappbitcoin', '#PepsiBaseballEats', '#PepsiOffer', '#NikitaUnfiltered', '#SnapPromo', '#90s4eva', '#90sWeekSweepstakes', '#RewardingMadness', '#Promotion', '#OvershareInYourUnderwear', '#HanesTSPGiveaway', '#Roaring20s', '#KorvosBBQSweepstakes', '#SolarOpposites', '#CashAppFriday', '#PerrierEnergize', '#saltyreeses', '#FieroFriday', '#kid90', '#INVESTINYOU', '#partner', '#15YearsofMiley', '#teamadidas', '#FearlessTaylorsVersion', '#TSxCapitalOne', '#BuschBeerMoney', '#NationalBeerDay', '#ShotForSam', '#cashappfriday', '#WednesdayMotivation', '#PolandSpringEnergySweepstakes', '#PolandSpringEnergy', '#TalentiRecipeSweeps', '#FlaminHotFaceoff', '#MoneyGramAppDay', '#WithoutRemorse', '#Oscars', '#IMDbWatchKit', '#TacosOnVenmo', '#tacosonvenmo', '#SteakGiveaway', '#MareOfEasttown', '#HBOGiveaway', '#OliviaRodrigoSOURsweepstakes', '#SuccessAnywhere', '#entry', '#StreamingDay', '#DisneyBundle', '#TipsyForCinco', '#VenmoItForward', '#StellaReventonDeVerano', '#ABReventonDeVerano', '#venmoitforward', '#DoorDashE3', '#E32021', '#ad', '#CashAppForHotties', '#FathersDay', '#NFT', '#NationalPineappleDay', '#Twix', '#venmome', '#VenmoMe', '#FreelikeTubiSweepstakes', '#Tubi90s', '#BeInfinite', '#WendysFrostyccinoIsColdBrewWithFrostyCreamer', '#fomogo', '#GHFeeds', '#ghfeeds', '#MAKEITPOP', '#ChipDipSip', '#TheTomorrowWar', '#SARGENTOMacAndCheeseDay', '#goldorchocolate', '#FreesNotFees', '#GIVEAWAY', '#BacktoSleepWeek', '#CashAppExtraCredit', '#KohlsFinds', '#TheStoriesContinue', '#JungleCruise', '#SWEEPSTAKES', '#Fleets', '#FreeLikeTubiSweepstakes', '#Bitefest', '#StellaSolstice', '#TakeGoldTasteGolden', '#KIDZBOPTurns20', '#KBGiveaway', '#hintpawtner']"
sunafuk14344931,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#目覚めの一杯で深呼吸', '#カフェラトリー', '#ひとくちずつわたしがもどってくる', '#AGF', '#北川景子', '#甘いおやつで一休み', '#１日の終わりにご褒美を', '#濃密モコモコ泡', '#ふわっふわ泡', '#繊細ふんわり泡', '#すみすみ', '#すみすみ友だち', '#丸亀うどん弁当', '#こんなに詰まって390円でお得', '#弁当なのに本格打ち立てうどん', '#気軽にお持ち帰りできる', '#お弁当ってだけでなんだかワクワク', '#CCレモンゲーム', '#無敵AIに挑戦', '#4月4日', '#CCレモンの日', '#パーフェクトサントリービール', '#このビールは2度驚く', '#香りすごいらしいよ香味焙煎', '#香味焙煎', '#ファミマのブラックパンチ飲みたい', '#今日のおやつはどらもっち', '#ローソン', '#ゴールドチキンオムライス', '#勝ち飯スタジアム', '#タコライス風JAPAN肉みそキャベツ', '#スマートニュースde友人紹介', '#ファイブミニ無料引換クーポン', '#ファイブミニ', '#本麒麟', '#私の本当にうまいもの', '#Feeltek', '#地球では言えない', '#赤面しちゃう恥', '#若気の至り', '#やらかした恥', '#やりたいけど恥ずかしい事', '#どらもっちバニラバニラ', '#今週のひとこと', '#リモート飯', '#米油', '#つの食品', '#企業公式パン部']"
safa61229996,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
gretchenhilary,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#hallmarkmovies', '#NotABigFan', '#WheresMyMovies', '#biggiebuckethat', '#Hallmarkies', '#HappyFathersDay', '#HappyBirthday', '#HangingWithDaddo', '#HappyFathersDay2021', '#BestDadInTheBizz', '#TeamWorkMakesTheDreamWork', '#wendysfrostyccinoiscoldbrewwithfrostycreamer']"
nodqfan144,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#AEWDARK', '#AEW', '#DragonAge', '#yugioh', '#yugiohtcg', '#sizetwitter', '#WWE', '#HappyBirthdayJohnCena', '#Wrestlemania', '#SaveMacGyver', '#pokemon', '#giantess', '#巨大娘', '#天上院明日香', '#alexisrhodes', '#縮小学園', '#イジらないで長瀞さん', '#donttoywithmemissnagatoro', '#SASvsMEM', '#LibreOffice', '#MacGyverCBS', '#MacGyver', '#ThankYouMacGyver', '#キュアハート', '#cureheart', '#precure', '#SmackDown', '#anipoke', '#NASCAR', '#56', '#FeedbackFridays', '#WeAreNXT', '#AEWDynamite', '#相田マナ生誕祭', '#相田マナ生誕祭2021', '#キュアハート生誕祭', '#キュアハート生誕祭2021', '#BanditKeithBirthday', '#YuGiOhTCG', '#YUGIOH', '#AEWRampage', '#HappyBirthday']"
CoplandEllie,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
Veratanik2,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#sweepstakes', '#galaxys20ultra', '#attexplore', '#GuacFromMexico', '#Sweeps', '#Verizon5GAccess', '#Sweepstakes', '#Oscars', '#HowDoYouColumbia', '#TangerSweepsEntry', '#BUSCHCARSWEEPSTAKES', '#BetOnBacon', '#XGPDBDsweepstakes', '#DeadByDaylight', '#BushsBeautifulSummerContest', '#LiptonTogetherSweepstakes']"
mom2onlygirls,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#npspanthers', '#swimfast', '#nebpreps', '#pantherswim', '#49WillBeFine', '#zerobasedbudget', '#pride', '#toy', '#NPS']"
spring,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#TuckerCarlson', '#xrpthestandard', '#XRP', '#XRPtheStandard', '#Yup', '#sezzledit']"
monko607,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
Richaliciousone,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#TikTok', '#foryoupage', '#golddigger', '#fypシ', '#tiktokAustralia', '#pranks', '#prankwars', '#womensequality', '#likeican', '#fyp', '#ColorCustomizer']"
MOHAMED54445020,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",['#صورة_جديدة_للملف_الشخصي']
Alecas02017493,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"11.76%, Cluster: community cluster 955","['#BABEWinePairings', '#sweeps', '#Sweepstakes', '#ebaywatches', '#sweepstakes', '#GameFuelPS5Sweepstakes', '#GuacFromMexico', '#GuacScreen', '#SBLV', '#ChampsBottle', '#BarbAndStar', '#EWBarbStarSweepstakes', '#TUMSBingoSweepstakes', '#attexplore', '#MahomesZoneSweepstakes', '#FreeLikeTubiSweepstakes', '#money', '#JoyWins', '#mayotrivia', '#fairygodmayo', '#TailgatingWithOtterbox', '#ULTRAOrganicSeltzer', '#RealisBetter', '#ArtificialisBetter', '#TournamentOfChampions', '#herculestires', '#HerculesTires', '#win', '#giveaway', '#Stellabites', '#Giveaway', '#StellaBites', '#VenmoItForward', '#giveawayalert', '#TSxCapitalOne', '#FearlessTaylorsVersion', '#InstantKarma', '#BuschBeerMoney', '#NationalBeerDay', '#WithoutRemorse', '#CashAppFriday', '#SuccessAnywhere', '#entry', '#WIN', '#1800petmeds', '#contest', '#GreenyMothersDaySweepstakes', '#StellaReventonDeVerano', '#ABreventondeverano', '#ABReventonDeVerano', '#5StarSummer', '#NestleToulouse', '#teamkallie', '#PupweiserContest', '#TakeSummerByTheCoolers', '#StreamingDay', '#DisneyBundle', '#PricelessSurprises', '#5Gsfor5G', '#Contest', '#TMobileTuesdays', '#StellaDinnerParty', '#BuschToTheMoon', '#BirdiesForPremier', '#CashAppForHotties', '#SummerofGalaxy', '#RuleYourDay', '#RondaRouseyUncaged', '#SharkWeek', '#SharkTripEatPreyChum', '#NationalFrenchFryDay', '#BossBabyAtHomeSweepstakes', '#StellaxChristies', '#ChristiesArtTech', '#LiptonTogetherSweepstakes', '#DashPass', '#GoFourthAmerica', '#MicheladaMondays', '#TheTomorrowWar', '#ChipDipSip', '#RokuSweepstakes', '#MiniFridge', '#RollingCooler', '#WFMCarefreeCarts', '#venmome', '#VenmoMe', '#FreesNotFees', '#BuschLightApple', '#Bitefest', '#DashToSchool', '#Entry', '#TheStoriesContinue']"
g2r7,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",['#فانتزي_البريميرليغ']
BlessedIcon2,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#gotvdeyyourside', '#Gotvdondeymyside', '#BuhariMustGo', '#BBNEarlyAccess', '#SWBtheAlbum', '#IndustryNightWithLaycon', '#JEJE', '#SWBOutNow', '#SWBListeningParty', '#SWBAlbum', '#ICONsRadio', '#LayconInLiberia', '#IAmLayconOnAM', '#BBNaijaReunion', '#MasculinitySaturday', '#SWBTheAlbum', '#BBNaijaReunion2021', '#BBNAIJA', '#OSGBBNAIJA', '#BBNaija', '#BBNaijaLockdownReunion', '#BBNajia', '#Jaguars', '#JackieB', '#iCONsXLaycon', '#LayconXIbadan', '#ICONsXLaycon', '#MadeinLagosDeluxe', '#BBNaijia6']"
BreeKaley,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#RIPMJ', '#TBT', '#MadeForNow', '#janetjackson', '#iHeartAwards2021']"
,0.0%,16.67%,0.0%,0.0%,16.67%,0.0%,,"25.0%, Cluster: community cluster 531","['#SmartBTS', '#SimpleSMARTAko', '#BINHYUK', '#ShopeexENHYPEN', '#Megamall', '#GST29', '#MFMPremiereNight', '#MyFavoriteMovie', '#OCRecords', '#HappyYejiDay', '#OurAceYEJIDay', '#옞쁜날에_태어나줘서_고마워', '#HappyDAHYUNday', '#QueenDAHYUNDay', '#찬란한_그대_바로_김다현', '#olilondon', '#nonbinary', '#BTSMeal', '#BTSMealPH', '#ENHYPEN', '#ENGENE', '#SUNGHOON', '#UniversitySeries', '#DiUNOrz', '#gst36', '#gst37', '#AnziJejeEra', '#Zflip', '#بنت_الكلب', '#beyoncé', '#HappyWomensDay', '#اليوم_العالمي_للمرأة', '#RestoreTheSnyderVerse', '#TheGreenKnight', '#movies', '#BernieMeme', '#berniememes2021', '#BernieSanders', '#BernieSandersMittens', '#FeelTheBern', '#meme', '#memes', '#berniesandersmeme', '#BernieSits', '#twitch', '#MonsterHunterRise', '#follow', '#twitchstreamer', '#love', '#fun', '#MHRise', '#LGBTQ', '#LGBT', '#queer', '#bisexual', '#gay', '#lesbian', '#trans', '#TransIsBeautiful', '#transrights', '#lgbtqcommunity', '#loveislove', '#twitter', '#housing', '#homeless', '#daily', '#ss', '#sunday', '#weekend', '#share', '#donate', '#gofundme', '#nonprofit', '#shorts', '#pokemongo', '#pokemongofriends', '#pokemongofriend', '#pokemon', '#addme', '#PokemonGoRaids', '#pokemongocode', '#code', '#friends', '#play', '#PokemonGO', '#PokemonGOfriends', '#pokémon', '#remoteraidpass', '#raidpass', '#friend', '#happy', '#instagood', '#instamood', '#instadaily', '#instaphoto', '#youtube', '#youtuber', '#tiktok', '#horror', '#scary', '#horrorfan', '#horroryoutubers', '#creepy', '#cute', '#me', '#sweet', '#tiktokgirls', '#life', '#loveyourself', '#tiktoks', '#smile', '#lovemyself', '#selflove', '#lovely', '#selfcare', '#selfworth', '#confidence', '#bepositive', '#beyou']"
ElaineFouty,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"11.76%, Cluster: community cluster 955","['#ICMyIreland', '#RKTHomestyleEntry', '#jklbinky', '#SmartyTips', '#Sweepstakes', '#sweepstakes', '#700inOne', '#77inOne', '#SweetAirChannels', '#1', '#finally21', '#attexplore', '#DeansCoolestGameday', '#ArcherOnFXonHulu', '#Giveaway', '#AnimalCrossingxColourPop', '#AnimalCrossing', '#NintendoSwitch', '#SixFeetAScarf', '#LittleLifts', '#ThankQRC', '#Contest', '#PayPalPartner', '#TMobileTuesdays', '#contest', '#𝐌𝐚𝐡𝐨𝐦𝐞𝐬𝐙𝐨𝐧𝐞𝐒𝐰𝐞𝐞𝐩𝐬𝐭𝐚𝐤𝐞𝐬', '#MahomesZoneSweepstakes', '#giveaway', '#perfectbar', '#Bestof2021Sweepstakes', '#LaceEmUp', '#LaceEmUP', '#NotYourGrannysBakeOff', '#IWouldDoANYTHINGForAKlondikeConeZoneSweepstakes', '#TasteTimeOff', '#iPadAir', '#SkinitMade', '#WhatsInYourFruitBowl', '#PeakWhiteCheddar', '#GroovesBreakEntry', '#ScorchinIsland', '#ZestyDudeRanch', '#VenmoItForward', '#mayophobia', '#jameson', '#Jamesonand', '#OnePlusWatch', '#OnePlus9Series', '#NationalGrilledCheeseDay', '#BreatheCheesy', '#Roku', '#HeyRoku', '#VirginHotelsLV', '#MoneyGramAppDay', '#FREEKLIPSCH', '#FreeKlipsch', '#MoneyGramMonday', '#NationalPicnicDay', '#PaneraPicnic', '#ScottLiving', '#VenmoltForward', '#melissasproduce', '#Take', '#BelizePlease', '#WildSmiles', '#NattySour1K', '#NestleToulouse', '#BudLightStimmyTix', '#BudLightSummerStimmy', '#Memorial', '#MemorialDayWeekend', '#MemorialDay2021', '#MemorialDaySALE', '#Grilling', '#teamultrasweepstakes', '#WIN', '#livefeetfirst', '#Sweeps', '#SlowDownSummer', '#ReadyToRefuel', '#Promotion', '#StellaSummerFriday', '#NattySlide', '#SafeBeforeShows', '#BirdiesForPremier', '#5Gsfor5G', '#NBAFinals', '#healthysnack', '#RallyTheValley', '#FearTheDeer', '#NBA', '#SmartyPigSummerCamp', '#LiptonTogetherSweepstakes', '#StellaSolstice', '#TakeGoldTasteGolden', '#InternationalBeerDay', '#cbd', '#win', '#ForTheFans', '#Sponsored']"
RogueSquadron65,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
Metallikate,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#jenpsaki', '#AmericaFirst', '#DonLemonIsAJoke', '#RealTalk', '#LebronJamesSmollett', '#DeSantis2024', '#Verbatim', '#FactsMatter', '#Facts', '#JuneTeenth2021', '#CancelDonLemon', '#CancelRapinoe', '#ArrestHunter', '#BoycottHasbro', '#DeathPelosi', '#Palmetto', '#CourtMartialJoeBiden', '#SendBidenToKabul', '#CourtMarshalBiden', '#ImpeachBiden', '#CowardInChief', '#ResignBiden', '#TheNextVariantIsCommunism', '#ShameOnJill', '#SaveAmerica', '#BloodOnYourHands']"
Deborah15292207,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#DogeCan', '#FSDBeta', '#dogecoin']"
ProtocolDC,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",['#Sheltahlyrichal']
apphorny,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#WWENXT', '#Verified', '#CHEVIL', '#CFC', '#SportingKC', '#LeaguesCup', '#5', '#PuzzleRacing', '#FedExCares', '#ManCity', '#CR7', '#Ronaldo', '#WomensEqualityDay', '#Huskers', '#Arsenal', '#MCFC', '#MCIARS', '#SmackDown', '#UECL', '#TeamToyota', '#UELdraw', '#TeamInterstate', '#TBT', '#TheMan', '#AutismAwareness', '#NASCAR']"
Toasted,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#GAsen', '#Morbius', '#Outriders', '#SquareEnixPresents', '#CastlevaniaSpoilers', '#Destiny2', '#SeasonoftheSplicer', '#SplicerFashionShow', '#FastampFurious', '#JurassicWorld', '#CES2022', '#DestinyArt', '#Destiny2Art', '#3DArt', '#Bungie']"
Gold,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#WhatDoTheyCallYou', '#FallGuys', '#VALORANT', '#FREERYANHIGA', '#MyTwitterAnniversary', '#RiftTour', '#GutzyAidenMousepad', '#ContentCreatorsForVIG', '#lftvalorant', '#27']"
jiatlas,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#supportlocal', '#SleepBetterWithSleepopolis', '#sleepbetterwithsleepopolis', '#SupportLocal', '#GiveThanksNotPranks', '#FunkoScavengerHunt', '#BuschDogBrew', '#BudLightStimmyTix', '#Sweepstakes', '#TriviArtois', '#1', '#TakeGoldTasteGolden', '#sweepstakes']"
noah14943684,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#NewYearsResolution', '#thotslayer', '#Pokemon25', '#PokemonOC', '#SpindaOC', '#Chromatica', '#ad', '#chromaticacookiehunt', '#dogecoin', '#ADHD', '#adhdtwitter', '#parenting', '#momlife', '#foreverphysical', '#LunarNewYear', '#oomfietourney', '#TikTok', '#animation', '#welovejacksepticeye', '#GromitMug', '#MonkeyMug', '#TeamDancingFish', '#DancingCat', '#DancingFish', '#DancingRoach', '#PolishCow', '#changemymind', '#tiktok', '#stickerpack', '#justiceformartinscsgoskins', '#CooperateToSurvive', '#EveryManForHimself', '#justiceforjeremy', '#anipoke', '#pokemon', '#NewProfilePic', '#Apple', '#epicface', '#Anipoke']"
ProblemChlid46,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",['#ChimeSignSweeps']
littlepoo65,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"5.88%, Cluster: community cluster 955","['#TUMSBingoSweepstakes', '#LoveDelivered', '#VenmoItForward', '#dietznutssack', '#DietzNutsSack', '#MahomesZoneSweepstakes', '#JoyWins', '#Sweepstakes', '#EyesOnTheClydes', '#sweepstakes', '#TMobileTuesdays', '#contest', '#NationalMargaritaDay', '#ThanksTodd', '#IWouldDoANYTHINGForAKlondikeConeZoneSweepstakes', '#KlondikeConeZone', '#takehomehalftime', '#Dietznutssack', '#HandOnRV', '#BuschSweepstakes', '#Coming2America', '#giveaway', '#BuschSnowDay', '#DEWLostLureSweepstakes', '#NationalRanchMonth', '#MMSSweepstakes', '#PerrierEnergize', '#OscarCookMyKicks', '#FordMustang', '#Giveaway', '#FalkenTire', '#win', '#prize', '#swag', '#free', '#cornhole', '#Funko', '#FunkoPop', '#FreddyFunko', '#Funkogiveaway', '#DQSweetestSeasonPass', '#DQSweepstakes', '#sayalohatoflavortown', '#UltimateHockeyHangout', '#PricelessSurprises', '#Thankiversary', '#SafeBeforeShows', '#TMobile', '#EagleRareDad', '#WildSmiles', '#HotBoSummer', '#ULTRATinkerDrop', '#HitTheBuds', '#FreeFloatFriday', '#FunkoGiveaway', '#nationalicecreamday', '#Funkopop', '#NationalIceCreamDay', '#LIBSweepstakes', '#NationalDogDay', '#LiptonDogDays', '#Sweeps', '#sweeps', '#TakeGoldTasteGolden']"
elise,0.0%,0.0%,0.0%,0.0%,0.0%,14.29%,,"15.0%, Cluster: community cluster 16","['#love', '#beauty', '#nofilter', '#nature', '#gorgeous', '#LikeForLikes', '#folllow', '#summer', '#quotes', '#positive', '#happy', '#Motivation']"
