community_clusters,hashtags_of_community_clusters,score_of_community_clusters,silhouette_score_of_community_cluster
community cluster 20,"['view', 'holiday', 'hiking', 'travel', 'spielberg', 'vacation', 'cat', 'croatia']",67.0,-0.2708333333333333
community cluster 21,"['view', 'hiking', 'tb', 'mountains', 'inlove', 'vacation', 'cat', 'croatia']",56.0,-0.2708333333333333
community cluster 22,"['view', 'holiday', 'travel', 'spielberg', 'vacation', 'pool', 'cat', 'croatia']",61.0,-0.2521367521367521
community cluster 23,"['view', 'holiday', 'travel', 'bay', 'vacation', 'nice', 'cat']",60.75,-0.10714285714285714
community cluster 24,"['holiday', 'travel', 'bay', 'vacation', 'cat']",60.5,-0.1428571428571429
community cluster 25,"['tennis', 'orfdrei', 'radiokulturhaus', 'vernissage', 'spielberg', 'ameizing', 'manpower', 'politicaldiscussion']",12.0,-0.34920634920634924
community cluster 26,"['blackouttuesday', 'explore', 'home', 'tb', 'nature', 'happynewyear', 'beautiful', 'memories']",56.0,-0.04597701149425285
community cluster 27,"['friends', 'travelgram', 'tb', 'photography', 'graz', 'sun', 'greece', 'sea']",65.0,-0.16326530612244902
community cluster 28,"['summer', 'holiday', 'sunshine', 'tb', 'love', 'sunset', 'vacationmode', 'dream']",64.0,-0.20454545454545453
community cluster 29,"['home', 'tb', 'happynewyear', 'beautiful', 'italy', 'austria', 'memories']",46.125,-0.3310104529616725
community cluster 30,"['valentinesday', 'holiday', 'home', 'love', 'happynewyear', 'nye', 'beautiful']",66.375,-0.1156462585034013
community cluster 31,"['blackouttuesday', 'explore', 'travelphotography', 'travel', 'nature', 'happynewyear', 'photography', 'tea']",71.0,-0.05681818181818176
community cluster 32,"['view', 'holiday', 'travelgram', 'love', 'happynewyear', 'inlove', 'graz', 'sun']",60.0,-0.32170542635658916
community cluster 33,"['sunshine', 'home', 'happynewyear', 'dream', 'sunset', 'vacationmode', 'summer']",40.5,-0.159090909090909
community cluster 34,"['blackouttuesday', 'explore', 'home', 'travel', 'nature', 'happyme', 'beautiful', 'memories']",64.0,-0.04597701149425285
community cluster 35,"['view', 'friends', 'travelgram', 'home', 'photography', 'inlove', 'graz', 'sun']",58.0,-0.32170542635658916
community cluster 36,"['happyplace', 'home', 'love', 'dream', 'sunset', 'beautiful', 'vacationmode', 'summer']",56.0,-0.1743589743589744
community cluster 37,"['blackouttuesday', 'explore', 'travelphotography', 'nature', 'history', 'tea', 'beautiful', 'memories']",51.0,-0.04597701149425285
community cluster 38,"['friends', 'sunshine', 'travelgram', 'life', 'photography', 'graz', 'beautiful', 'greece']",58.0,-0.22641509433962267
community cluster 39,"['india', 'explore', 'nature', 'tea', 'happyme', 'beautiful', 'italy', 'austria']",51.0,-0.11788617886178851
community cluster 40,"['valentinesday', 'blackouttuesday', 'explore', 'travel', 'nature', 'history', 'tea', 'memories']",56.0,-0.10958904109589036
community cluster 41,"['view', 'travelphotography', 'travelgram', 'photography', 'graz', 'sun', 'sea', 'memories']",55.0,-0.4496855345911949
community cluster 42,"['holiday', 'animals', 'love', 'dream', 'sunset', 'vacationmode', 'greece', 'memories']",65.0,-0.22000000000000008
