cluster,centroid,used_hashtags
k mean cluster 1,socialmediamanagement,"['krisenmanagement', 'socialmediaauftritt', 'communitymanagement', 'socialmediamanager', 'arbeitsschutzmanagement']"
k mean cluster 2,kessler,"['weather', 'kesslercrane', 'nextlevel', 'reststop', 'herzklar', 'techleader', 'resilenz', 'nussfarm', 'nussoel', 'jerusalem', 'musslos', 'patissier', 'wasser', 'tester', 'yessafira', 'lesssugar', 'tierischer', 'jewellery', 'knowledge', 'köstlich', 'herbstbier', 'mikkeller', 'festbier', 'helles', 'teaser']"
k mean cluster 3,mentalhealthawareness,"['theniamexactlywhereineedtobe', 'SpectiveEarthianEternity']"
k mean cluster 4,granattor,"['manfrotto', 'ginandtonic', 'organiccotton', 'jadranskomore', 'schnittwoch', 'keramikstore', 'bergdoktor', 'konditor', 'juanamador', 'glaunandich', 'girlswithtattoos', 'zrmanjacanyon', 'zrmanjariver', 'girlsontour', 'traktor', 'enziangranatsteig', 'peanutbutter', 'urbanart', 'afghanistan']"
k mean cluster 5,takemoreadventures,"['gottzuehrdemnächstenzurwehr', 'outdooradventures', 'JaPercebeuQueQuandoEuSorrio', 'femaleempowermentproject', 'worldwideadventures', 'ausdemgartenaufdenteller', 'austriaadventures']"
k mean cluster 6,reeloqcommunity,"['travelcommunity', 'outdoorcommunity', 'diplomsommelier', 'vegancommunity']"
k mean cluster 7,fruit,"['brrrt', 'africa', 'pyramid', 'india', 'feuer', 'artist', 'YUMMY', 'vfxartist', 'arbeit', 'trump', 'frühstück', 'forest', 'fruits', 'split', 'freude', 'frauen', 'frausein', 'kürbis', 'fruitboom', 'fruitboomde', 'fruechte', 'frudist', 'frucht', 'frudism', 'driedfruits', 'portrait', 'farfetch', 'nofront', 'fit', 'blut', 'ansitz', 'nurmut', 'fresh', 'fruchtig', 'fruity', 'freitag', 'frisch', 'CLUSE', 'COFFEE', 'jumpsuit', 'portait', 'quiz', 'wholefruit', 'trust', 'fruhling', 'frisur', 'kraft', 'feethurt', 'prgirl', 'fachgruppeubit', 'first', 'COVID', 'fürmich', 'wirfürkurz', 'fernitz', 'ididit', 'Grapefruit', 'grapefruit', 'craft', 'flint', 'anuncio', 'moabit']"
k mean cluster 8,agile,"['venice', 'nice', 'smile', 'family', 'office', 'cgi', 'cargirl', 'like', 'apple', 'grill', 'magazine', 'ice', 'acireale', 'dive', 'bowle', 'oscarwilde', 'style', 'otdmagazine', 'ajde', 'adobe', 'nike', 'gaypride', 'lgbtq', 'vanille', 'wolle', 'agave', 'live', 'candle', 'agilegraz', 'huila', 'bagels', 'langeweile', 'aeijst', 'uncle', 'magic', 'yasmintee', 'paradise', 'familie', 'pagisland', 'wagyubeef', 'time', 'attitude', 'magritte', 'teilen', 'pilze', 'allergie', 'ängste', 'juice', 'alsace', 'eisdiele', 'alley', 'stagbettle', 'paleale', 'apples', 'Ale']"
k mean cluster 9,internekommunikation,"['bookrecommendations', 'wiedereröffnungnachcorona', 'unternehmenskommunikation', 'corporatecommunication', 'corporatecommunications', 'externekommunikation', 'starkekommunikation', 'consumercommunication', 'eventkommunikation', 'wirliebenkommunikation', 'markenkommunikation', 'Businesskommunikation', 'erfolgreichekommunikation', 'krisenkommunikation']"
k mean cluster 10,contemporaryart,"['idontneedbodyguards', 'dontworrybemarry', 'geniessereiammarkt', 'centerforamericanstudies', 'contemporaryvienna']"
k mean cluster 11,summerinthecity,"['summerclothing', 'bucketlisthike2021', 'summerinthecitygraz', 'summeringreece', 'explorethecity']"
k mean cluster 12,FamilyFriday,"['alldayeveryday', 'feetupfriday']"
k mean cluster 13,köln,"['veli', 'krk', 'öbb', 'yolo', 'röd', 'glögg', 'kelag', 'kohlrabi', 'koeln', 'Vela', 'kevin', 'july', 'kids', 'vly', 'vcl', 'abkühlung', 'kribbeln', 'prickeln', 'nudeln', 'LOVE', 'cola']"
k mean cluster 14,brazilnuts,"['brutaleultras', 'hazelnut', 'brasileira', 'brenebrownquotes', 'macadamianuss', 'justaminute', 'purergenuss', 'brisbanecity', 'breakingnews']"
k mean cluster 15,kreuzberg,"['kumberg', 'ffkumberg', 'forbes30under30', 'krimibücher', 'andreasberger', 'lorenzbox', 'kreuzteich']"
k mean cluster 16,flyingrabbit,"['flyinggarden', 'hikinggadget', 'aufstellungsarbeit', 'flyinthesky', 'flyinginnature', 'flyingprivate']"
k mean cluster 17,womenshoes,"['homesweethome', 'weekendvibes', 'atomosshogun', 'rocketespresso', 'swedenshots', 'dancingshoes', 'workshops', 'womanhood', 'womeninbusiness', 'womenintech', 'womenincoffee', 'womenfashion', 'goldenhour', 'womensday', 'comebackstronger', 'wochenende', 'wochenstart', 'comeandplay', 'workshop', 'bloomcoffeeschool', 'foundersvoices', 'womenonstage', 'videoshoot', 'momentefesthalten', 'wohlfühlen', 'datenschutz', 'wimhofmethod', 'agameoftones', 'romanshorn', 'blackshoes', 'popupstores', 'statementshoes', 'wedgesshoes', 'pumpshoes', 'pumpshoe', 'fancyshoes', 'luxuryshoes', 'damenschuhe', 'brandnewshoes', 'wbwersonst', 'womensrights', 'womeninmusicbusiness']"
k mean cluster 18,booom,"['bcodospan', 'enjoy', 'bourbon', 'cookie', 'mushroom', 'foodism', 'book', 'besos', 'tudook', 'sheconomy', 'bowl', 'gowow', 'bowlup', 'rooftop', 'ootd', '4x100m', 'autonom', 'foto', 'xiaomi', 'followme', 'aboutBook', 'rooibos', 'hoops', 'bloom', 'bookkisa', 'colombia', 'sogood', 'bowls', 'oott', 'boudoir', 'oldbooks', 'boots', 'blooming', 'boston', 'roots', 'foody', 'bozen', 'roiboos', 'slowmo', 'boho', '1852m', 'bologna', 'bathroom']"
k mean cluster 19,wald,"['gala', 'c4d', 'alps', 'a7s', 'haídi', 'cold', 'windy', 'wood', 'sale', 'wildsoul', 'wsnh', 'wildeacai', 'goals', 'workhard', 'bass', 'wahle', 'bali', 'capi', 'wach', 'band', 'back', 'fotd', 'gold', 'walkies', 'word', 'water', 'cbd', 'bad', 'wifiwalk', 'thewild', 'gowilalm', 'calm', 'naah', 'world', 'wagyu', 'leechwald', 'café', 'wanda']"
k mean cluster 20,shoebrand,"['schöcklland', 'beyourownbrand', 'schenegegend', 'stockholmsbränneri', 'foodtrend', 'probrands', 'shorelineband', 'edsheeran', 'shepreneur', 'unruhestand', 'schokolade', 'sourdoughbread', 'holland', 'skateboarden', 'skateboard', 'snowboarding', 'stayhomebaby', 'memyselfandI', 'schilcherland', 'schönbrunn', 'schoenbrunn', 'burgenland', 'schreiberling', 'shoedangle', 'shoegasm', 'shoeporn', 'shoefan', 'greenbrain', 'Greenbrain', 'rhodeisland', 'rhodesisland', 'rhodesgrandeblue', 'rhodosisland', 'igersrhodeisland']"
k mean cluster 21,bakery,"['nairobikenya', 'baderhaus', 'razer', 'lakes', 'luxury', 'makesmehappy', 'habaneros', 'barbecue', 'habanero', 'backhendl', 'badbunny', 'backen', 'laktosefrei', 'energy', 'madebyme', 'babyboy', 'blazer', 'Marry', 'raspberry', 'takeaway', 'TapeArt', 'bäckerin', 'barkeeper', 'bewerb', 'takeit', 'cranberry', 'mayermayer', 'Factory', 'blackfriday', 'backless', 'berry', 'barbershop', 'makeup', 'warmerdays', 'budapest', 'garry', 'bäckerei', 'baddays', 'daheim', 'larry', 'carry', 'sneakpeek', 'kukuruz', 'behappy', 'mockerymia', 'mockery', 'lakegram', 'lakeview', 'lager']"
k mean cluster 22,vielglück,"['mutzurlücke', 'vöcklabruck', 'voecklabruck', 'VielGluck', 'VielGlück', 'erfolgistkeinglück', 'sonntagsglück']"
k mean cluster 23,morgenfrei,"['longtimenoselfie', 'morningview', 'kärntnerei', 'demherzenfolgen', 'stoppgewaltgegenfrauen', 'schuldenfrei', 'flouridfrei', 'flouridefree', 'glutenfrei', 'mirrorselfie', 'Morgenstund', 'farbenfroh', 'lohbergerandfriends', 'vortragsreihe', 'morningtea', 'crueltyfree', 'meilenstein', 'hortensien', 'farbenfrohewelt', 'markenstrategie', 'barrierefrei', 'barrierfrei', 'tierleidfrei']"
k mean cluster 24,diedohnal,"['hplederhaas', 'warmemorial', 'noaddedsugar', 'deixaeladançar', 'dreiuhrnachts', 'onepotmeal', 'driedfruitsnacks', 'dahoamisdahoam', 'themountain', 'personal', 'diekraftderrituale', 'lockdownalltag', 'upsidedown', 'käferbohnensalat', 'discount', 'historical', 'miejskadżungla']"
k mean cluster 25,gründermesse,"['grünersee', 'ohduwunderschöneszist', 'grübchenonfleek', 'therenderers', 'rinderwahnwien', 'immerwiedergerne', 'lgvgärtnergemüse', 'gründerinnen', 'gründerinnennetzwerk', 'gründermütter', 'gründerstory', 'arunnerseye', 'grünerveltliner', 'grünertee', 'holunderbeere', 'gründerszene', 'grundermesse', 'grunderszene', 'glucklichermensch', 'vorderergosausee', 'erdbeerdessert', 'freundetreffen', 'kapuzinerkresse', 'tierleidfreiessen', 'grandebluerhodes', 'trinktmehrwasser']"
k mean cluster 26,project,"['perfect', 'presents', 'progress', 'protein', 'present', 'brotzeit', 'butperfect', 'products', 'prtexte', 'promocode', 'präbichl']"
k mean cluster 27,jan,"['sun', 'jp', 'cat', 'bay', 'uae', 'tbt', 'rain', 'TOP', 'fun', 'sdg', '5tag', 'gin', 'santa', 'bar', 'japan', 'jumpman', 'tan', 'acai', 'hanf', 'grz', 'car', 'run', 'cb7', 'fbf', 'BMW', 'gay', 'Ott', 'jury', 'job', 'ott', 'namen', 'rap', 'mjam', 'süß', 'HG3', 'jeans', 'clean', 'açaí', 'NEW', 'rdy', 'urban', 'orf', '007', 'plane', 'tbf', 'fancy', 'danke', 'mtb', 'jobs', 'pag', 'Graz', 'BBQ', 'juhuu', 'tjJFS', 'iam', 'bat', 'ramen', 'raw', 'mai', 'USA']"
k mean cluster 28,afternoon,"['eastersippen', 'afternoontea', 'bestbarintown', 'interior', 'afterwork', 'superfood', 'burgerporn', 'afterlockdown', 'afterworkaperol', 'bestburgerintown', 'luftballon', 'aftercoronatime', 'aftercorona', 'motherhood', 'waterbomb', 'wasserbombe', 'youarethereason', 'afghanwomen']"
k mean cluster 29,ginlove,"['explore', 'mylove', 'inlove', 'catlover', 'carlover', 'gündorf', 'ginfluencer', 'gintime', 'swedenlove', 'gintonica', 'gintonic', 'ginlovers', 'ginlover', 'ginbottle', 'friedlove', 'fermentedlove', 'felizanonovo', 'syonlounge', 'girlpower', 'winelover', 'likelouis', 'meinewoche', 'selflove', 'shinemore', 'gaylove', 'citylove', 'bingoAbend', 'girlboss', 'employee', 'winelife', 'gujizone', 'gondola', 'tealove', 'guineapiglove', 'discover', 'girlspower', 'girlsout', 'hangloose', 'woodlove', 'redlove', 'Kinesiologie', 'kinesiologie', 'veganlove', 'styrialove', 'ciderlove']"
k mean cluster 30,ifyoureabirdimabird,['meinvorhanghängtimbild']
k mean cluster 31,sisi,"['musik', 'music', 'swedish', 'spirits', 'sunrise', 'spicy', 'sissy', 'müsli', 'keksi', 'eis', 'kiwi', 'sushi', 'suzuki', 'selfie', 'dimsum', 'sirup', 'guji', 'picnic', 'sexy', 'pisa', 'pics', 'mist', 'miami', 'spritzig', 'süffig', 'susegg', 'bigkid', 'fiba', 'signs', 'mission', 'nimmsmit', 'fisch', 'fish', 'sos', 'eisbox', 'stmk', 'bliss', 'ski', 'kitzski', 'miejski']"
k mean cluster 32,handmadeaustria,"['handmadeinaustria', 'handmadewithlove', 'palmademallorca', 'wynwoodartdistrict', 'bestplaceaustria']"
