cluster,used_hashtags
community cluster 1,"{'snow', 'skiing', 'mountains', 'sun', 'weather', 'beautiful', 'sunglasses'}"
community cluster 2,"{'snow', 'skiing', 'holiday', 'mountains', 'vacation', 'cat', 'sunglasses', 'croatia'}"
community cluster 3,"{'travel', 'cat', 'sun', 'vacation', 'beautiful', 'sunglasses', 'summer', 'venice'}"
community cluster 4,"{'best', 'mountains', 'sun', 'beautiful', 'sunglasses', 'summer', 'great'}"
community cluster 5,"{'best', 'travel', 'kroatien', 'sun', 'beautiful', 'summer', 'sea', 'venice'}"
community cluster 6,"{'photooftheday', 'hiking', 'croatia', 'sun', 'pool', 'beautiful', 'summer', 'sea'}"
community cluster 7,"{'view', 'holiday', 'spielberg', 'bay', 'nice', 'vacation', 'green', 'sea'}"
community cluster 8,"{'photooftheday', 'hiking', 'croatia', 'instagood', 'sun', 'beautiful', 'great', 'summer'}"
community cluster 9,"{'view', 'holiday', 'bay', 'sun', 'nice', 'pool', 'vacation', 'cat'}"
community cluster 10,"{'skiing', 'best', 'travelphotography', 'travel', 'tb', 'mountains', 'history', 'sun'}"
community cluster 11,"{'holiday', 'croatia', 'vacation', 'beautiful', 'great', 'summer', 'venice'}"
community cluster 12,"{'best', 'photooftheday', 'tennis', 'travel', 'vacation', 'beautiful', 'summer', 'venice'}"
community cluster 13,"{'photooftheday', 'hiking', 'croatia', 'instagood', 'pool', 'nice', 'beautiful', 'summer'}"
community cluster 14,"{'view', 'holiday', 'spielberg', 'cat', 'bay', 'beautiful', 'summer'}"
community cluster 15,"{'photooftheday', 'summer', 'hiking', 'instagood', 'pool', 'nice', 'cat', 'croatia'}"
community cluster 16,"{'best', 'travel', 'bay', 'vacation', 'pool', 'nice', 'green', 'summer'}"
community cluster 17,"{'view', 'photooftheday', 'holiday', 'hiking', 'instagood', 'nice', 'cat', 'croatia'}"
community cluster 18,"{'photooftheday', 'best', 'happy', 'smile', 'vacation', 'instadaily', 'igers', 'igersaustria'}"
community cluster 19,"{'view', 'holiday', 'hiking', 'travel', 'instagood', 'nice', 'cat', 'croatia'}"
community cluster 20,"{'view', 'holiday', 'hiking', 'travel', 'spielberg', 'vacation', 'cat', 'croatia'}"
community cluster 21,"{'view', 'hiking', 'tb', 'mountains', 'inlove', 'vacation', 'cat', 'croatia'}"
community cluster 22,"{'view', 'holiday', 'travel', 'spielberg', 'vacation', 'pool', 'cat', 'croatia'}"
community cluster 23,"{'view', 'holiday', 'travel', 'bay', 'vacation', 'nice', 'cat'}"
community cluster 24,"{'holiday', 'travel', 'bay', 'vacation', 'cat'}"
community cluster 25,"{'tennis', 'orfdrei', 'radiokulturhaus', 'vernissage', 'spielberg', 'ameizing', 'manpower', 'politicaldiscussion'}"
community cluster 26,"{'blackouttuesday', 'explore', 'home', 'tb', 'nature', 'happynewyear', 'beautiful', 'memories'}"
community cluster 27,"{'friends', 'travelgram', 'tb', 'photography', 'graz', 'sun', 'greece', 'sea'}"
community cluster 28,"{'summer', 'holiday', 'sunshine', 'tb', 'love', 'sunset', 'vacationmode', 'dream'}"
community cluster 29,"{'home', 'tb', 'happynewyear', 'beautiful', 'italy', 'austria', 'memories'}"
community cluster 30,"{'valentinesday', 'holiday', 'home', 'love', 'happynewyear', 'nye', 'beautiful'}"
community cluster 31,"{'blackouttuesday', 'explore', 'travelphotography', 'travel', 'nature', 'happynewyear', 'photography', 'tea'}"
community cluster 32,"{'view', 'holiday', 'travelgram', 'love', 'happynewyear', 'inlove', 'graz', 'sun'}"
community cluster 33,"{'sunshine', 'home', 'happynewyear', 'dream', 'sunset', 'vacationmode', 'summer'}"
community cluster 34,"{'blackouttuesday', 'explore', 'home', 'travel', 'nature', 'happyme', 'beautiful', 'memories'}"
community cluster 35,"{'view', 'friends', 'travelgram', 'home', 'photography', 'inlove', 'graz', 'sun'}"
community cluster 36,"{'happyplace', 'home', 'love', 'dream', 'sunset', 'beautiful', 'vacationmode', 'summer'}"
community cluster 37,"{'blackouttuesday', 'explore', 'travelphotography', 'nature', 'history', 'tea', 'beautiful', 'memories'}"
community cluster 38,"{'friends', 'sunshine', 'travelgram', 'life', 'photography', 'graz', 'beautiful', 'greece'}"
community cluster 39,"{'india', 'explore', 'nature', 'tea', 'happyme', 'beautiful', 'italy', 'austria'}"
community cluster 40,"{'valentinesday', 'blackouttuesday', 'explore', 'travel', 'nature', 'history', 'tea', 'memories'}"
community cluster 41,"{'view', 'travelphotography', 'travelgram', 'photography', 'graz', 'sun', 'sea', 'memories'}"
community cluster 42,"{'holiday', 'animals', 'love', 'dream', 'sunset', 'vacationmode', 'greece', 'memories'}"
community cluster 43,"{'valentinesday', 'explore', 'italy', 'australia', 'summer', 'austria', 'memories'}"
community cluster 44,"{'nurheute', 'valentinesday', 'holiday', 'love', 'nature', 'photography', 'graz', 'tea'}"
community cluster 45,"{'valentinesday', 'explore', 'animals', 'sunshine', 'life', 'sunset', 'happyme', 'vacationmode'}"
