hashtag,average_likes,number_of_posts_with_this_hashtag
#bergpanorama,142.0,1
#naturgenießen,142.0,1
#wanderliebe,142.0,1
#dahoam,142.0,1
#upperaustria,142.0,1
#oberösterreich,142.0,1
#kleinersonnstein,142.0,1
#traunsee,142.0,1
#spontan,130.0,1
#lebhaft,130.0,1
#communitylove,130.0,1
#wertschatzung,130.0,1
#regionaleproduktemachenglucklich,130.0,1
#osterreich,130.0,1
#gemeinsamstark,134.66666666666666,3
#trinkenhilft,130.0,1
#durstloscher,130.0,1
#herbstliebe,115.66666666666667,3
#herbst,115.66666666666667,3
#herbstfarben,115.66666666666667,3
#herbstlich,115.66666666666667,3
#herbstzeit,115.66666666666667,3
#naturbelassen,86.75,4
#teetrinken,115.66666666666667,3
#teelicious,115.66666666666667,3
#teeliebe,115.66666666666667,3
#teelovers,115.66666666666667,3
#erinnerung,124.5,2
#abstandhalten,124.5,2
#rücksicht,124.5,2
#zusammenhalten,124.5,2
#füreinander,124.5,2
#haltetdurch,124.5,2
#supporteachother,124.5,2
#gangl,103.0,1
#munter,103.0,1
#muntermacher,103.0,1
#carrymehome,98.0,1
#gemeinsamgenießen,98.0,1
#mothersday,86.0,1
#muttertagsgeschenk,86.0,1
#mutterliebe,86.0,1
#mütter,86.0,1
#sunday,86.0,1
#subdayvibes,86.0,1
#sonntag,86.0,1
#sonntagsmodus,86.0,1
#brunch,149.5,2
#brunchtime,86.0,1
#brunchideas,86.0,1
#brunchathome,86.0,1
#gönndirwas,86.0,1
#proud,207.0,1
#excited,207.0,1
#unterwegs,207.0,1
#aufdemweg,207.0,1
#sparoesterreich,207.0,1
#interspar,207.0,1
#esgehtwiederlos,207.0,1
#vorfreudeistdieschönstefreude,207.0,1
#genussmomente,207.0,1
#cocktail,39.0,3
#summervibes,54.6,5
#regionalereistee,152.0,2
#bemarry,114.0,1
#fröhlich,73.0,1
#gründer,73.0,1
#david,73.0,1
#felber,73.0,1
#schokolade,73.0,1
#sorten,73.0,1
#schoki,73.0,1
#sweettooth,73.0,1
#leckerschmecker,73.0,1
#dessertoftheday,73.0,1
#marryxoxo,73.0,1
#chocolateheaven,73.0,1
#aeijstgin,100.5,2
#ginliebe,113.0,1
#ginlicious,113.0,1
#prost,104.5,2
#branding,142.0,1
#campaign,142.0,1
#team,113.5,2
#ergebnis,142.0,1
#illustrations,142.0,1
#argentinische,142.0,1
#tradition,142.0,1
#Matetee,142.0,1
#ursprungsland,142.0,1
#flasche,142.0,1
#erlebnis,142.0,1
#crowdfundingcampaign,142.0,1
#corporatedesign,142.0,1
#drinklovers,95.33333333333333,3
#enterpreneurs,98.0,2
#puls4,227.0,1
#startupshow,227.0,1
#startups,227.0,1
#milestones,227.0,1
#tvshow,227.0,1
#medien,227.0,1
#fernsehen,227.0,1
#vorschau,227.0,1
#bühne,227.0,1
#bignews,227.0,1
#startupstory,112.8,5
#entrepreneurialspirit,227.0,1
#businessgrowth,227.0,1
#wien,157.5,2
#vienna,140.5,2
#igerswien,227.0,1
#igersvienna,227.0,1
#carrymeetsspar,156.0,1
#carryimspar,156.0,1
#SPAR,156.0,1
#SPARösterreich,156.0,1
#zitronigsüß,156.0,1
#erfischungsgetränk,156.0,1
#regionalergenuss,173.0,2
#grazerstartup,156.0,1
