username, is_a_company, is_a_deep_crawl
juliapanduric,False,True
lisana.official,False,True
little.humanbeing,False,True
shoepy.official,False,True
clauswunsch,False,True
mariell.isabell,False,True
shindokan_dojo,False,True
valentinkx,False,True
andrea.testet.und.bloggt,False,True
rhoenkobold,False,True
ildokay,False,True
angelagruber,False,True
dagmar_999,False,True
gruendercenter,False,True
pemiro04,False,True
paulvonstanzenberg,False,True
martinaheidelberg,False,True
marrrinarrr,False,True
schatzlsschatzkisterl,False,True
chefgabriel.ortet,False,True
bohs_beans,False,True
raandi88,False,True
raabauer_eisvogel,False,True
denisepl_,False,True
mehr.wert_dieonlinemarketer,False,True
extrazimmer_ag,False,True
lieblingsplatz_graz,False,True
iameugene0601,False,True
sarah.s_68,False,True
daniii484,False,True
prott_sisters,False,True
ingostefanspeaker,False,True
stevexc7_,False,True
eatingoutingraz,False,True
saschikraus,False,True
travel.away.mj,False,True
marinasteindl10,False,True
mangolds_wow,False,True
be_surprised_snackhouse,False,True
uhrturmbaeckerei,False,True
eigengrau.at,False,True
barb.ara.a,False,True
foodtrucks_united,False,True
damnplastic_official,False,True
putz_alexandra,False,True
doll_in_la,False,True
jenn_w_,False,True
alikis_kitchenstories,False,True
seitho,False,True
hannesmair1,False,True
zwanae93,False,True
dorfhotel_fasching,False,True
paintedbydaria,False,True
ozeankind_berlin,False,True
chri_stian_k,False,True
keepingupwiththeaustrian,False,True
denkenerlaubt,False,True
hanamurtezai,False,True
andreakutilin_photography,False,True
sylvias_kuechenzauber,False,True
gruendungsgarage,False,True
menzi.alex,False,True
andii_wer_sonst,False,True
moredrinksoe,False,True
jandizinner,False,True
kathrin_wolf_maier,False,True
sislivinglife,False,True
hcati,False,True
krimxm,False,True
lifelovesyou_music,False,True
galunas_selfiefarm,False,True
katastrophenfee,False,True
azra.karupovic,False,True
janine_weixler,False,True
therrealpapalu,False,True
city_of_graz,False,True
goodrems,False,True
lawif.fan19,False,True
lisa.reichkendler,False,True
isi_gruber,False,True
marty_no_12,False,True
nolimitevent,False,True
wolfal.mayer,False,True
greenrocket_crowdfunding,False,True
gabriel.gissing,False,True
yuli__latz,False,True
marisamller,False,True
