id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
CFe9KJcHE9x,https://www.instagram.com/p/CFe9KJcHE9x/,136,#rain #graz #igersgraz #rainonme,"Always enjoying the rain 🥰 . Thanks for the picture   😍 .     aaawwww 😍😍😍 Cutieee 😻😻😻   ahahahah You can stand under my umbrella, gurl😻😇 😍😍😍 Vull cooles Foto 😇 Tolles Foto 😍 Sehr liabes Foto! 💖💖💖👌🏻Love this 😍 I'm loving this ❤️",,2020-09-23T15:14:04.000Z
CNm-F-jn7rx,https://www.instagram.com/p/CNm-F-jn7rx/,464,,"Everything wrong with    Dieses Thema/dieses Produkt polarisiert. Und das zurecht. Mich regt das so auf! Und ganz viele von euch auch - mein Postfach wird gerade überflutet! Der Shitstorm auf der Insta Seite von   geht über. Heut morgen waren es noch 200 Kommentare, mittlerweile sind es schon knappe 2000 hahaha Es geht hier um ein Produkt für Frauen, gestaltet und erfunden von Männern. Es ist im ganzen Team von   keine einzige Frau beteiligt. Warum ja auch?! Hier wurde ein pinker Handschuh mit Klebestreifen „erfunden“, um den Frauen einen hygienischeren Umgang mit ihren benutzen Perdiodenprodukten zu bieten. Dieses Meisterwerk ist übrigens auch seit guten 3 Jahren in „Entwicklung“. Das alles grenzt bei so vielen Frauen auf Wut und Enttäuschung. Wie können sich diese Männer ins Fernsehen stellen und so etwas präsentieren und dann auch noch Ernst genommen werden? Es wurde ihnen sogar Lob und Zuspruch ausgesprochen. Sie bekamen sogar 2 (!) Investmentangebote - beide von Männern wohlgemerkt. (Kurzer Exkurs: Vor 2 Jahren waren   auch bei der Höhle der Löwen, und diese bekamen für ihre Periodenunterwäsche kein Investment) Es ist ein weiteres Einweg-Plastik-Produkt, das keiner braucht. Ich kenne keine Frau, die jemals sich nach solch einen Produkt ausgesprochen hat. Fragt man aber die zwei Gründer, haben sie eine andere Meinung dazu. Alles begann, wie die beiden in eine Frauen-WG gezogen sind. Dort mussten sie dann die unglaubliche Entdeckung machen: Frauen geben benutze Produkte in den Mülleimer. Diesen Anblick fanden sie aber gar nicht toll. Es war sogar, ich zitiere „ein mehrmals erlebtes, grusliges Erlebnis“. Und zum Schluss möchte ich noch ein großes Thema ansprechen. Nochmals auf Bezug zu   . Laut einer Studie der Harvard Business Review, bekamen weiblich-geführte Startups 2,3% der VC Investments im Jahr 2020.  2,3%. Lasst euch das auf der Zunge zergehen. Und dieses Unternehmen, dieses Investment ist ein weiteres schlechtes Beispiel, um diese Studie zu untermauern… Das muss einfach ein Witz sein. Für die Quote der Sendung. Das kann doch nicht wirklich ernst gemeint sein. mehr solcher Posts! 😍 Das kann nicht deren Ernst sein 😠 das pack ich nicht Um Gottes Willen, wie ekelhaft 🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️ 🔥🔥🔥 Hab als Trotz gleich Mal   besucht und für super befunden!! Hoffentlich werden durch diese idiotische Handschuh ""Erfindung"" dafür mehr Leute auf die Periodenunterwäsche aufmerksam und unterstützen ein Unternehmen, das wirklich Sinn macht! Alleine das Bild mit „Ladylike“ auf deren Seite - da könnt ich schon ausrasten 🙄 Frauen: 🤮   🤑 Was soll daran hygienisch sein? Soll ich mich jetzt noch schämen weil ich menstruiere und sekrete absondere? Aber gut genug zum putzen, kochen, sex und Kinder kriegen sind wir schon noch. Das Produkt ist einfach nur für die Mülltonne. Bei „gruselig“ denkst dir schon, ob jemand in der Pubertät hängen geblieben ist 🤦‍♀️ aber stimmt, denkt man sich als Frau bei einem benutzten Kondom auch 😂 nooot 😪 Also ich hab selten sein so unnötiges Produkt gesehen. Da scheint mal wieder die Männerwelt zu versuchen uns ihr Problem überzustülpen 😅 ich hab da keine Problem mit der Entsorgung meiner damenhygiene 🤦‍♀️ Danke für diesen so wichtigen Beitrag! OMG.. ich kann die Frechheit dieses Produkts immer noch nicht fassen! „Wir waren verwundert beim Anblick??“ ja frag dich mal, wie sich das für die Mitbewohnerinnen anfühlt 🙈🙈🙈",,2021-04-13T14:07:19.000Z
CCDelwcHyki,https://www.instagram.com/p/CCDelwcHyki/,75,,Habt ihr schon die   probiert? 😍  . Go check it out beim   🚀 Meine Top Models 😘😍 Wir haben die beste Community 👏 Love it 💚,,2020-06-30T09:33:17.000Z
CJveBZ0nFsK,https://www.instagram.com/p/CJveBZ0nFsK/,110,#cofoundergoals #cofounders #femaleempowerment,"Building up   these last months taught us incredibly much. We grew together as a team and literally never lost the fun. Looking forward to every team meeting and laughing tears togehter is a blessing and made us loving the process ❤️ Even some hard nuts that came along the way, such as the really tough Austrian business license regulations 😅😝, did not demotivate us. Working with this great community full of highly enthusiastic female entrepreneurs motivates us so much and encourages us to give our maximum. Thank you for all your power and having accompanied us till here! ❤️ We are absolutely grateful for everything that happened with FEMINDS this year and have huge plans for 2021! 💪🏽Cant wait! Love you lot’s        ❤️❤️ loving this journey! 💋  ohne Team muss frau das ein bisserl anpassen. Aber super Input!!! LG and 11. Apply for support at  Congrats 🍾! Love the number1 💓! It is huge deal for me personally as well while building the community! I get so excited about new ideas 💡 and what we can do and I want start right away!!! 🤣🤣 learning by doing 🥰! Keep up the great work ladies and let me know how I can support you on your journey 🥳🎼! Schöne Learnings! Kann ich zu 100 % genau so unterschreiben! ☺️ Love this!🔥",,2021-01-07T11:14:39.000Z
CCsetzQHBzc,https://www.instagram.com/p/CCsetzQHBzc/,96,#corgisofinstagram #corgilove #corgi,"Sorry not sorry, for all the corgi content 😍😂🥰 .     ❤️ 😍 so cute 👌🏻Love it - him 😍 😍 So lieb 😍",,2020-07-16T07:43:14.000Z
CAXZHnpHXl4,https://www.instagram.com/p/CAXZHnpHXl4/,101,,Die   gibts ab sofort im   🚀🔥 ⁣ 📸   🙌🏼😋 🤙🔥 🤟Gratulation: starke Ansage in diesen schwierigen Zeiten,,2020-05-19T10:07:30.000Z
CCrIKkon14V,https://www.instagram.com/p/CCrIKkon14V/,63,#feminds #femalemastermind #mastermind #igersgraz,Nach 4 langen Monaten fand gestern wieder unsere Female Mastermind ( ) statt 😍🚀 . Absolut unglaublich wieviele Powerfrauen gestern dabei waren 😍 Mega inspirierend und bereichernd ☺️ .      ,,2020-07-15T19:06:57.000Z
CMUt7cyHsYd,https://www.instagram.com/p/CMUt7cyHsYd/,70,#speaking #keynote #womentech #vortrag #international #conference #globalconference #global #speaker,"I’m so happy to announce that I will be speaking at this years   global conference with over 100.000 people!  Last year I spoke there aswell and it really opened me up to international speaking engagements. 🔥 7 MISTAKES YOU SHOULDN‘T MAKE ON STAGE 🔥 I will go over the 7 mistakes you shouldn't make on stage. Every Mistake is with a real-life example and also with tips on how to overcome this and actionable steps. I also think it is so important to inspire the audience and that they are eager to present their startup afterwards. :) Link in my bio.                 Delighted to have you, Denise 🙂 🔥🔥🔥🔥🔥 Sehr cool! Gratuliere!!! 👏🔥❤️ So great 🔥👍",,2021-03-12T15:28:21.000Z
CCvy1kbpgsW,https://www.instagram.com/p/CCvy1kbpgsW/,52,,Strategiemeeting für   - BIG things are coming 🤯😍,,2020-07-17T14:36:47.000Z
CGfgHGSHbvg,https://www.instagram.com/p/CGfgHGSHbvg/,54,,About yesterday 🥰 😍😘❤️❤️❤️,,2020-10-18T16:50:53.000Z
CLUS1X1nPxm,https://www.instagram.com/p/CLUS1X1nPxm/,137,#startupscenegraz,"It's time to say goodbye 👋 Meine zweite Vorstandsperiode beim   ist wieder vorbei!  Und nun, nach fast 4,5 Jahren beim   verabschiede ich mich ganz. 2016 wie ich angefangen habe, war das Ideentriebwerk noch ein Baby. Wir waren 7 (?) Mitglieder, verwendeten zwei Whatsapp Gruppen als einzigstes Kommunikationstool und hatten nicht mal Meetings. Doch es hat alles funktioniert, monatliche Events wurden organisiert und die Startupszene vernetzt - so wie es sich gehört :) In meiner ersten Vorstandsperiode habe ich dann den Verein auf Vordermann gebracht und eine professionelle Struktur eingeführt, ohne die wir es uns heute gar nicht vorstellen könnten haha Ein Office wurde eingerichtet (Danke hier an  ), Slack als Kommunikationstool, Trello als Task Management, wöchentliche/monatliche Meetings wurden eingeführt usw.  Das Team wuchs auf knapp 30 Mitglieder, die Sponsorengelder wurden verdoppelt (hier ein Danke an  ) und wir hatten unglaublich viel Spaß! :) Letztes Jahr durfte ich dann nochmal in den Vorstand und gemeinsam mit   und   den Verein über die Corona-Krise leiten. Es war mir eine Ehre!  👋👋 Photocredits:  ❤️ ❤️🙌🔥 ❤️ Vielen Dank für deinen Einsatz und alles Liebe für den weiteren Weg! Wir werden dich vermissen. Gleichzeitig blicken wir dank eurer bisherigen Arbeit auch auf noch viele weitere spannende Vorhaben rund um die  ! 🚀❤️ Danke für deinen Einsatz 🔥💙 All the best für deine zukünftigen Projekte. 👏 Es war mir eine Ehre, in meiner damaligen Vorstandsperiode, dich ins ITG-Boot zu holen 😊🎉 Alles Gute hat ein Ende, nur die Wurst hat 2 😜",,2021-02-15T15:00:11.000Z
CGQXX5PHxWu,https://www.instagram.com/p/CGQXX5PHxWu/,105,, celebrates it’s 8th birthday today 🥰🥰 Herzlichen Glückwunsch🙂,,2020-10-12T19:45:55.000Z
